col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
627060,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,150v,158,123902,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123902,2,479,2,Universitätsbibliothek,A-Gu,Graz,,,,,,,,,,
628334,Gaude mater luminis ,Gaude mater luminis ,1r,158,123931,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123931,2,1584,2,Universitätsbibliothek,A-Gu,Graz,,,,,,,,,,
629750,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,77r,158,123957,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123957,2,281,2,Universitätsbibliothek,A-Gu,Graz,,,,,,,,,,
635126,Gaude mater luminis,Gaude mater luminis,370v,158,124052,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124052,2,Cod. 17  (37/9 f.),2,Universitätsbibliothek,A-Gu,Graz,,,,,,,,,,
624976,Gaude mater luminis,Gaude mater luminis,153r,158,123858,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123858,5,466,5,Oberösterreichische Landesbibliothek,A-LIb,Linz,,,,,,,,,,
626547,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,60v,158,123897,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123897,5,286,5,Oberösterreichische Landesbibliothek,A-LIb,Linz,,,,,,,,,,
631656,Gaude mater luminis,Gaude mater luminis,265v,158,123975,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123975,56,P VIII,56,Knihovna metropolitni kapituly sv. Vita,CZ-Pap,Prague,,,,,,,,,,
630820,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,87v,158,123991,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123991,69,St. Peter 14a,69,Badische Landesbibliothek - Musiksammlung,D-KA,Karlsruhe,,,,,,,,,,
631212,Gaude mater luminis,Gaude mater luminis,185r,158,124003,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124003,69,S. Peter 44,69,Badische Landesbibliothek - Musiksammlung,D-KA,Karlsruhe,,,,,,,,,,
632180,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,202v,158,124006,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124006,69,St. Peter 16,69,Badische Landesbibliothek - Musiksammlung,D-KA,Karlsruhe,,,,,,,,,,
633236,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,216r,158,124026,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124026,69,S. Peter 15,69,Badische Landesbibliothek - Musiksammlung,D-KA,Karlsruhe,,,,,,,,,,
630382,Gaude mater luminis,Gaude mater luminis,214r,158,123972,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123972,72,4o theol. 5,72,Landesbibliothek,D-Kl,Kassel,,,,,,,,,,
629975,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,xxii/3r,158,123959,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123959,73,391,73,Universitätsbibliothek,D-LEu,Leipzig,,,,,,,,,,
628326,Gaude mater luminis ,Gaude mater luminis ,250v,158,123937,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123937,76,Clm 10075,76,Bayerische Staatsbibliothek,D-Mbs,München,,,,,,,,,,
630879,Gaude mater luminis,Gaude mater luminis,69v,158,123992,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,123992,76,Clm 15730,76,Bayerische Staatsbibliothek,D-Mbs,München,,,,,,,,,,
633142,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,64r,158,124027,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124027,76,Clm 4548,76,Bayerische Staatsbibliothek,D-Mbs,München,,,,,,,,,,
633268,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,95v,158,124030,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124030,76,Cgm 716,76,Bayerische Staatsbibliothek,D-Mbs,München,,,,,,,,,,
634633,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,255r,158,124043,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124043,76,Clm 9508,76,Bayerische Staatsbibliothek,D-Mbs,München,,,,,,,,,,
635183,Gaude mater luminis quam divini numinis,Gaude mater luminis quam divini numinis,256v,158,124057,ah54225,,,,,,,,,,158,2023-06-07 20:15:20.413038+00,2023-06-07 20:15:20.413042+00,,,Sq,Sequence,Mass,124057,76,Clm 19267,76,Bayerische Staatsbibliothek,D-Mbs,München,,,,,,,,,,
