col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
401488,,Alleluia*,127v,122,123628,001331,http://gallica.bnf.fr/ark:/12148/btv1b6000531z/f258.image,4154,5,1572,1,Alleluia*,Alleluia  In domino,1---dC--f--gH--h---3---dC---f--gh--h7---3,"'12044':15A 'alleluia':1A,2A,5A 'bibliothèqu':7A 'de':9A,17B 'des':12A 'domino':4A 'département':11A 'franc':10A 'l':19B 'latin':14A 'manuscrit':13A 'national':8A 'pari':6A 'regum':18B",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123628,112,Latin 12044,112,Bibliothèque nationale,F-Pn,Paris,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1572,De Regum,"Summer Histories, from Kings"
517679,,Alleluia*,167,122,123646,001331,,4154,,1572,*,Alleluia*,Alleluia,,"'1247':10A 'alleluia':1A,2A,3A 'cathedr':5A 'de':13B 'f.160':8A 'facsimil':11A 'l':15B 'librari':7A 'music':6A 'olim':9A 'regum':14B 'worcest':4A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123646,134,F.160 (olim 1247) (facsimile),134,Cathedral - Music Library,GB-WO,Worcester,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1572,De Regum,"Summer Histories, from Kings"
235914,,Alleluia vi (Sursum corda),135v,122,123607,001331,,4154,,1763,*,,,,'3':12B 'alleluia':1A 'arcivescovado':7A 'biblioteca':8A 'corda':4A 'fer':11B 'firenz':5A 'florenc':6A 'l':14B 'pent':13B 's.c':9A 'sursum':3A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123607,150,s.c.,150,Arcivescovado - Biblioteca,I-Far,Firenze (Florence),4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1763,Fer. 3 Pent.,Pentecost Tuesday
500672,,Alleluia vi (Sic veniet)*,078v,122,123642,001331,,4154,,1665,4,,,,'114':8A 'alleluia':1A 'ascensionem':12B 'bibliothèqu':6A 'dom':10B 'l':13B 'municipal':7A 'p':11B 'sic':3A 'valencienn':5A 'veniet':4A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123642,118,114,118,Bibliothèque municipale,F-VAL,Valenciennes,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1665,Dom. p. Ascensionem,Sunday after Ascension
500693,,Alleluia vi (Sic veniet)*,079r,122,123642,001331,,4154,,1845,4,,,,'114':8A '6':11B 'alleluia':1A 'asc':14B 'bibliothèqu':6A 'fer':10B 'l':15B 'municipal':7A 'oct':13B 'p':12B 'sic':3A 'valencienn':5A 'veniet':4A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123642,118,114,118,Bibliothèque municipale,F-VAL,Valenciennes,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1845,Fer. 6 p. Oct. Asc.,"Friday, after the Octave of Ascension"
500703,,Alleluia vi (Sic veniet)*,079r,122,123642,001331,,4154,,1994,4,,,,'114':8A 'alleluia':1A 'asc':13B 'bibliothèqu':6A 'l':14B 'municipal':7A 'oct':12B 'p':11B 'sabb':10B 'sic':3A 'valencienn':5A 'veniet':4A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123642,118,114,118,Bibliothèque municipale,F-VAL,Valenciennes,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1994,Sabb. p. Oct. Asc.,"Saturday, after the Octave of Ascension"
500660,,Alleluia vi (Sic veniet),078v,122,123642,001331,,4154,,1490,4,,,,'114':8A '8':12B 'alleluia':1A 'ascensio':10B 'bibliothèqu':6A 'domini':11B 'l':13B 'municipal':7A 'sic':3A 'valencienn':5A 'veniet':4A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123642,118,114,118,Bibliothèque municipale,F-VAL,Valenciennes,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1490,"Ascensio Domini,8",In week after Ascension
156970,,Alleluia vi (Qui sunt hi),190r,122,123593,001331,https://bvmm.irht.cnrs.fr/iiif/24878/canvas/canvas-2563167/view,4154,1,1845,8,,,,"'465':14A '6':19B '893':16A 'abbay':10A 'alleluia':1A 'arra':6A 'asc':22B 'cgm':15A 'de':8A 'fer':18B 'hi':5A 'l':9A,23B 'mediathèqu':7A 'oct':21B 'p':20B 'qui':3A 'saint':12A 'saint-vaast':11A 'sunt':4A 'vaast':13A 'vi':2A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123593,97,465 (CGM 893),97,Bibliothèque municipale,F-AS,Arras,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1845,Fer. 6 p. Oct. Asc.,"Friday, after the Octave of Ascension"
215334,,Alleluia vi (Puer Jesus),035r,122,123604,001331,,4154,2,1689,?,,,,'alleluia':1A 'capitolar':13A 'chiavenna':5A 'collegiata':8A 'della':7A 'di':9A 'dom':16B 'jesus':4A 'l':18B 'lorenzo':11A 'museo':12A 'puer':3A 's.c':14A 'septuagesima':17B 'tesoro':6A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123604,149,s.c.,149,Tesoro della Collegiata di S. Lorenzo - Museo Capitolare,I-CHV,Chiavenna,4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1689,Dom. Septuagesimae,Septuagesima Sunday
240384,,Alleluia vi (Pater sancte)*,136v,122,123608,001331,,4154,,1490,*,,,,'560':13A '8':17B 'alleluia':1A 'ascensio':15B 'biblioteca':7A 'conv':11A 'domini':16B 'firenz':5A 'florenc':6A 'l':18B 'laurenziana':10A 'medicea':9A 'medicea-laurenziana':8A 'pater':3A 'sanct':4A 'sopp':12A 'vi':2A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123608,151,Conv. sopp. 560,151,Biblioteca Medicea-Laurenziana,I-Fl,Firenze (Florence),4154,2020-06-18 19:20:24.018+00,2020-06-18 19:20:24.02+00,,,L,Lauds,1490,"Ascensio Domini,8",In week after Ascension
