col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
248197,,Doleo super te frater mi,065v,122,123611,002321,https://unipub.uni-graz.at/obvugrscript/content/pageview/6789463,4163,7,1572,1,Doleo super te frater mi Jonatha amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus in bello et hasta ejus non est aversa,Doleo super te frater mi ionatha amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta ionathe numquam abiit retrorsum nec declinavit clipeus eius in bello et hasta eius non est aversa,,"'30':80A '38/9':82A 'abiit':28A,64A 'amabili':12A,48A 'amat':20A,56A 'amorem':15A,51A 'aversa':41A,77A 'bello':35A,71A 'clipeus':32A,68A 'de':85B 'declinavit':31A,67A 'diligebam':24A,60A 'doleo':1A,6A,42A 'eius':33A,38A 'ejus':69A,74A 'est':40A,76A 'et':36A,72A 'f':83A 'filium':21A,57A 'frater':4A,9A,45A 'graz':78A 'h':87B 'hasta':37A,73A 'ionath':26A 'ionatha':11A 'ita':22A,58A 'jonatha':47A,62A 'mater':18A,54A 'mi':5A,10A,46A 'mulierum':16A,52A 'nec':30A,66A 'non':39A,75A 'numquam':27A,63A 'olim':81A 'regum':86B 'retrorsum':29A,65A 'sagitta':25A,61A 'sicut':17A,53A 'super':2A,7A,14A,43A,50A 'te':3A,8A,23A,44A,59A 'unicum':19A,55A 'universitätsbibliothek':79A 'vald':13A,49A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123611,2,30 (olim 38/9 f.),2,Universitätsbibliothek,A-Gu,Graz,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
286673,,Doleo super te frater mi,126v,122,123613,002321,http://www.ksbm.oeaw.ac.at/images/AT/5000/AT5000-1012/AT5000-1012_126v.jpg,4163,7,1572,1,Doleo super te frater mi Jonathas amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus in bello et hasta ejus non est aversa,Doleo super te frater mi ionathas amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta ionathe nunquam abiit retrorsum nec declinavit clypeus eius in bello et hasta eius non est aversa,1---d--c--d---f--eD---dfddc---fgh--h---ghgf---e--fg--gf---d--dc--f--e---d--d---d--c---d--f--gF---d7--f--d--c---d--f---g--g---h--g--f---g--h---f--e--dfddc---c--d---fd---fgh--fe--d--d---hk--k--g7---g--hk--h---h--g---e--f--g---fe--d--d---d---e--f--gh--g---h--g--g---hG--g7---f---ghG--fed---d---c--df---fgF--f---ghgfe---dc---fe--d--d---4---7h--h--hg--gf--gh--g---3,"'1012':84A 'abiit':28A,64A 'amabili':12A,48A 'amat':20A,56A 'amorem':15A,51A 'augustin':80A 'augustiner-chorherrenstift':79A 'aversa':41A,77A 'bello':35A,71A 'bibliothek':82A 'ccl':83A 'chorherrenstift':81A 'clipeus':68A 'clypeus':32A 'de':86B 'declinavit':31A,67A 'diligebam':24A,60A 'doleo':1A,6A,42A 'eius':33A,38A 'ejus':69A,74A 'est':40A,76A 'et':36A,72A 'filium':21A,57A 'frater':4A,9A,45A 'h':88B 'hasta':37A,73A 'ionath':26A 'ionatha':11A 'ita':22A,58A 'jonatha':47A,62A 'klosterneuburg':78A 'mater':18A,54A 'mi':5A,10A,46A 'mulierum':16A,52A 'nec':30A,66A 'non':39A,75A 'numquam':63A 'nunquam':27A 'regum':87B 'retrorsum':29A,65A 'sagitta':25A,61A 'sicut':17A,53A 'super':2A,7A,14A,43A,50A 'te':3A,8A,23A,44A,59A 'unicum':19A,55A 'vald':13A,49A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123613,3,CCl 1012,3,Augustiner-Chorherrenstift - Bibliothek,A-KN,Klosterneuburg,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
294466,,Doleo super te frater mi,196v,122,123616,002321,http://manuscripta.at/diglit/AT5000-1018/0397,4163,7,1572,1,Doleo super te frater mi Jonatha amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta Jonathae numquam abiit retrorsum nec declinavit clipeus ejus in bello et hasta ejus non est aversa,Doleo super te frater mi ionathas amabilis valde super amorem mulierum sicut mater unicum amat filium ita te diligebam sagitta ionathe numquam abiit retrorsum nec declinavit clypeus eius in bello et hasta eius non est aversa,1---d--c--d---f--eD7---dfd-dc---fgh--hG---ghgf---e--fg--gf---d--dc--f--e---d--d---d--c---d--f7--gF---d--f--d--d---d--f---g--g---h--g--f---g--h---f--e--dfd-dc---c--d7---fd---fgh--fe--d--d---hk--k--g---g--hk--h---h--g---e--f--g---fe7--d--d---d---f--g--gh--g---h--g--g---hG--g---f---ghG--fed---d77---c--df---fgF--f---ghgfef---dc---ffe--d--d---4---7h--h--hg--gf--gh--g7---3,"'1018':84A 'abiit':28A,64A 'amabili':12A,48A 'amat':20A,56A 'amorem':15A,51A 'augustin':80A 'augustiner-chorherrenstift':79A 'aversa':41A,77A 'bello':35A,71A 'bibliothek':82A 'ccl':83A 'chorherrenstift':81A 'clipeus':68A 'clypeus':32A 'de':86B 'declinavit':31A,67A 'diligebam':24A,60A 'doleo':1A,6A,42A 'eius':33A,38A 'ejus':69A,74A 'est':40A,76A 'et':36A,72A 'filium':21A,57A 'frater':4A,9A,45A 'h':88B 'hasta':37A,73A 'ionath':26A 'ionatha':11A 'ita':22A,58A 'jonatha':47A,62A 'klosterneuburg':78A 'mater':18A,54A 'mi':5A,10A,46A 'mulierum':16A,52A 'nec':30A,66A 'non':39A,75A 'numquam':27A,63A 'regum':87B 'retrorsum':29A,65A 'sagitta':25A,61A 'sicut':17A,53A 'super':2A,7A,14A,43A,50A 'te':3A,8A,23A,44A,59A 'unicum':19A,55A 'vald':13A,49A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123616,3,CCl 1018,3,Augustiner-Chorherrenstift - Bibliothek,A-KN,Klosterneuburg,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
305260,,Doleo super te frater mi,132r,122,123656,002321,http://manuscripta.at/diglit/AT5000-589/0269,4163,7,1572,1,,,,'589':12A 'augustin':8A 'augustiner-chorherrenstift':7A 'bibliothek':10A 'ccl':11A 'chorherrenstift':9A 'de':14B 'doleo':1A 'frater':4A 'h':16B 'klosterneuburg':6A 'mi':5A 'regum':15B 'super':2A 'te':3A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123656,3,CCl 589,3,Augustiner-Chorherrenstift - Bibliothek,A-KN,Klosterneuburg,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
307343,,Doleo super te frater mi,060r,122,123660,002321,,4163,6,1572,?,,,,"'benediktin':8A 'benediktiner-stift':7A 'de':15B 'doleo':1A 'frater':4A 'h':17B 'kremsmünster':6A,10A 'mi':5A 'musikarchiv':11A 'regum':16B 'schachtel':12A 'stift':9A 'super':2A 'te':3A 'vi/258':13A",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123660,4,Schachtel VI/258,4,Benediktiner-Stift Kremsmünster - Musikarchiv,A-KR,Kremsmünster,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
338263,,Doleo super te frater mi,249r,122,123617,002321,https://digi.landesbibliothek.at/viewer/image/290/499/,4163,7,1572,?,,,,'183':11A '290':9A 'de':15B 'doleo':1A 'frater':4A 'gamma':12A 'h':17B 'landesbibliothek':8A 'linz':6A 'mi':5A 'oberösterreichisch':7A 'olim':10A 'p.19':13A 'regum':16B 'super':2A 'te':3A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123617,5,290 (olim 183; olim Gamma p 19),5,Oberösterreichische Landesbibliothek,A-LIb,Linz,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
439773,,Doleo super te frater mi,172v,122,123658,002321,,4163,9,1572,1,,,,'480':15A 'augustin':9A 'augustiner-chorherrenstift':8A 'bibliothek':11A 'chorherrenstift':10A 'de':17B 'doleo':1A 'florian':7A 'frater':4A 'h':19B 'mi':5A 'musikarchiv':13A 'regum':18B 'sankt':6A 'super':2A 'te':3A 'und':12A 'xi':14A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123658,7,XI 480,7,Augustiner-Chorherrenstift - Bibliothek und Musikarchiv,A-SF,Sankt Florian,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
509150,,Doleo super te frater mi,245v,122,123643,002321,https://iiif-mufo.oeaw.ac.at/mahss/A-VOR287/A-VOR287-245v/full/full/0/default.jpg,4163,7,1572,1,,,,'287':8A 'de':12B 'doleo':1A 'frater':4A 'h':14B 'mi':5A 'olim':9A 'regum':13B 'stiftsbibliothek':7A 'super':2A 'te':3A 'vorau':6A 'xxix':10A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123643,8,287 (olim XXIX),8,Stiftsbibliothek,A-VOR,Vorau,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
510686,,Doleo super te frater mi,053v,122,123644,002321,https://www.cantusplanus.at/common/rism.php?rism=A-WdaC10,4163,7,1572,1,,,,'-10':9A 'c':8A 'de':11B 'diözesanarchiv':7A 'doleo':1A 'frater':4A 'h':13B 'mi':5A 'regum':12B 'super':2A 'te':3A 'wien':6A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123644,9,C-10,9,Diözesanarchiv,A-Wda,Wien,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
534860,,Doleo super te frater mi,087v,122,123649,002321,https://iiif-mufo.oeaw.ac.at/mahss/A-WdaD4/A-WdaD4-087v/full/full/0/default.jpg,4163,7,1572,1,,,,'-4':9A 'd':8A 'de':11B 'diözesanarchiv':7A 'doleo':1A 'frater':4A 'h':13B 'mi':5A 'regum':12B 'super':2A 'te':3A 'wien':6A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123649,9,D-4,9,Diözesanarchiv,A-Wda,Wien,4163,2020-06-18 19:20:24.011+00,2020-06-18 19:20:24.013+00,,,H,Antiphons based on texts from the Historia,1572,De Regum,"Summer Histories, from Kings"
