col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
153471,,Beata progenies*,255v,122,123592,001572,,4159,M,1955,*,,,,'20541':11A '8':16B 'aberystwyth':3A 'beata':1A 'cymru':6A 'e':12A 'genedlaethol':5A 'librari':8A 'llyfrgel':4A 'maria':15B 'nation':7A 'nativita':14B 'progeni':2A 'v2':17B 'wale':10A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123592,122,20541 E,122,Llyfrgell Genedlaethol Cymru (National Library of Wales),GB-AB,Aberystwyth,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,1955,"Nativitas Mariae,8",In week after Birthday of Mary
161008,,Beata progenies*,441w,122,123593,001572,https://bvmm.irht.cnrs.fr/iiif/24878/canvas/canvas-2563683/view,4159,1M,1955,*,,,,'465':11A '8':17B '893':13A 'abbay':7A 'arra':3A 'beata':1A 'cgm':12A 'de':5A 'l':6A 'maria':16B 'mediathèqu':4A 'nativita':15B 'progeni':2A 'saint':9A 'saint-vaast':8A 'v2':18B 'vaast':10A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123593,97,465 (CGM 893),97,Bibliothèque municipale,F-AS,Arras,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,1955,"Nativitas Mariae,8",In week after Birthday of Mary
162787,,Beata est quae*,546v,122,123593,200489,https://bvmm.irht.cnrs.fr/iiif/24878/canvas/canvas-2563902/view,4159,3,2428,*,,,,'465':9A '893':7A 'arra':4A 'beata':1A 'bibliothèqu':5A 'est':2A 'maria':12B 'municipal':6A 'olim':8A 'quae':3A 'v2':13B 'visitatio':11B,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123593,97,465 (CGM 893),97,Bibliothèque municipale,F-AS,Arras,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,2428,Visitatio Mariae,Visitation of Mary
162790,,Beata es Maria*,546v,122,123593,001565,https://bvmm.irht.cnrs.fr/iiif/24878/canvas/canvas-2563902/view,4159,M,2428,*,,,,"'465':9A '893':7A 'arra':4A 'beata':1A 'bibliothèqu':5A 'es':2A 'maria':3A,12B 'municipal':6A 'olim':8A 'v2':13B 'visitatio':11B",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123593,97,465 (CGM 893),97,Bibliothèque municipale,F-AS,Arras,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,2428,Visitatio Mariae,Visitation of Mary
164178,,Beatam me dicent*,063v,122,123666,001574,,4159,R,2211,*,,,,'6':8A 'annuntiatio':10B 'aosta':4A 'beatam':1A 'biblioteca':7A 'dicent':3A 'maggior':6A 'maria':11B 'seminario':5A 'v2':12B,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123666,141,6,141,Seminario Maggiore - Biblioteca,I-AO,Aosta,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,2211,Annuntiatio Mariae,Annunciation of Mary (Lady Day)
164179,,Beata es Maria*,063v,122,123666,,,4159,R,2211,*,Beata es Maria*,,,"'6':11A 'annuntiatio':13B 'aosta':7A 'beata':1A,4A 'biblioteca':10A 'es':2A,5A 'maggior':9A 'maria':3A,6A,14B 'seminario':8A 'v2':15B",122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123666,141,6,141,Seminario Maggiore - Biblioteca,I-AO,Aosta,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,2211,Annuntiatio Mariae,Annunciation of Mary (Lady Day)
170192,,Beata mater et innupta virgo,386v,122,123669,001570,,4159,M,1556,*,,,,'694':9A 'assisi':6A 'beata':1A 'biblioteca':7A 'bmv':12B 'comunal':8A 'de':11B 'et':3A 'innupta':4A 'mater':2A 'v2':13B 'virgo':5A,122,2023-06-07 20:15:20.358231+00,2023-06-07 20:15:20.358245+00,,,A,Antiphon,Office,123669,142,694,142,Biblioteca Comunale,I-Ac,Assisi,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,1556,De BMV,Votive Office for Mary
207041,,Beata nobis*,067r,139,123602,008273,,4159,,1682,*,,,,'4':9A 'beata':1A 'bibliothèqu':4A 'c':8A 'cambrai':3A 'dom':11B 'h':10B 'impr':6A 'municipal':5A 'nobi':2A 'pentecost':12B 'v2':13B 'xvi':7A,139,2023-06-07 20:15:20.386855+00,2023-06-07 20:15:20.386859+00,,,H,Hymn,Office,123602,99,Impr. XVI C 4,99,Bibliothèque municipale,F-CA,Cambrai,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,1682,Dom. Pentecostes,"Pentecost Sunday (also ""Whitsunday"")"
207060,,Beata nobis*,068r,139,123602,008273,,4159,,1763,*,,,,'3':12B '4':9A 'beata':1A 'bibliothèqu':4A 'c':8A 'cambrai':3A 'fer':11B 'h':10B 'impr':6A 'municipal':5A 'nobi':2A 'pent':13B 'v2':14B 'xvi':7A,139,2023-06-07 20:15:20.386855+00,2023-06-07 20:15:20.386859+00,,,H,Hymn,Office,123602,99,Impr. XVI C 4,99,Bibliothèque municipale,F-CA,Cambrai,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,1763,Fer. 3 Pent.,Pentecost Tuesday
207064,,Beata nobis*,068v,139,123602,008273,,4159,,1794,*,,,,"'4':9A,12B 'beata':1A 'bibliothèqu':4A 'c':8A 'cambrai':3A 'fer':11B 'h':10B 'impr':6A 'municipal':5A 'nobi':2A 'pent':13B 'v2':14B 'xvi':7A",139,2023-06-07 20:15:20.386855+00,2023-06-07 20:15:20.386859+00,,,H,Hymn,Office,123602,99,Impr. XVI C 4,99,Bibliothèque municipale,F-CA,Cambrai,4159,2020-06-18 19:20:24.084+00,2020-06-18 19:20:24.085+00,,,V2,Second Vespers,1794,Fer. 4 Pent.,Pentecost Wednesday
