chant_id,title,incipit,feast_name,cantus_id
675577,,Gloria patri et filio et,Transl. Dominici,909000
675576,,Gloria patri et filio et,Transl. Dominici,909000
278517,,Gloria patri et filio et,Transl. Dominici,909000
278523,,Gloria patri et filio et,Transl. Dominici,909000
278520,,Gloria patri et filio et,Transl. Dominici,909000
675578,,Gloria patri et filio et ,Transl. Dominici,909000
328626,,Gloria patri et filio et,Dominici,909000
693541,,Gloria*,Dominici,909000
713883,,Gloria patri et filio et ,Dominici,909000
357951,,Gloria patri et filio et,Dominici,909000
713903,,Gloria patri et filio et,Dominici,909000
713893,,Gloria patri et filio et ,Dominici,909000
278800,,Gloria patri et filio et,Dominici,909000
278810,,Gloria patri et filio et,Dominici,909000
278823,,Gloria patri et filio et,Dominici,909000
357961,,Gloria patri et filio et,Dominici,909000
328615,,Gloria patri et filio et,Dominici,909000
328635,,Gloria patri et filio et,Dominici,909000
328638,,Gloria patri et filio et,Dominici,909000
357941,,Gloria patri et filio et,Dominici,909000
