type,id,siglum,title,incipit
chant,243157,A-Gu 29,,Custodit dominus omnes diligentes se
chant,244066,A-Gu 29,,Custodit dominus omnes diligentes se
chant,244739,A-Gu 29,,Dum fortis armatus custodit atrium
chant,246994,A-Gu 29,,Qui odit animam suam in
chant,247379,A-Gu 29,,Dominus custodit te ab omni
chant,251921,A-Gu 30,,Est secretum Valeriane quod tibi
chant,252513,A-Gu 30,,Qui odit animam suam in 
chant,653946,A-Gu Ms. 211,,Dum fortis armatus custodit atrium
chant,658415,A-Gu Ms. 211,,Vos autem estote fortes et
chant,663225,A-Gu Ms. 211,,Est secretum Valeriane quod tibi
chant,663246,A-Gu Ms. 211,,Est secretum Valeriane quod tibi 
chant,286133,A-KN 1012,,Est secretum Valeriane quod tibi
chant,286153,A-KN 1012,,Est secretum Valeriane quod tibi 
chant,289044,A-KN 1013,,Dum fortis armatus custodit atrium
chant,294083,A-KN 1018,,Est secretum Valeriane quod tibi
chant,294103,A-KN 1018,,Est secretum Valeriane quod tibi 
chant,543175,A-Wn 1799**,,Custodit dominus omnes diligentes se
chant,544009,A-Wn 1799**,,Custodit dominus omnes diligentes se
chant,544241,A-Wn 1799**,,Cum fortis armatus custodit atrium
chant,544927,A-Wn 1799**,,Custodit dominus*
chant,546636,A-Wn 1799**,,Est secretum Valeriane quod tibi
chant,546965,A-Wn 1799**,,Qui odit animam suam in
chant,550716,A-Wn 1890,,Dum fortis armatus custodit atrium
chant,553489,A-Wn 1890,,Est secretum Valeriane quod tibi
chant,571833,A-Wn Mus.Hs.15489,,Custodite judicium et facite justitiam
chant,572958,A-Wn Mus.Hs.15489,,Cum fortis armatus custodit atrium 
chant,573986,A-Wn Mus.Hs.15489,,Qui odit animam suam in
chant,574262,A-Wn Mus.Hs.15489,,Dominus custodit te ab omni 
chant,707832,"B-AVna, IV.413",,Est secretum Valeriane quod tibi
chant,709045,"B-AVna, IV.413",,Qui odit animam suam in 
chant,588610,B-DEa 9,,O vos angeli qui custoditis
chant,705852,B-Gu Hs BKT.006,,Post haec blandis rex molitur 
chant,705915,B-Gu Hs BKT.006,,Est secretum Valeriane quod tibi 
chant,706047,B-Gu Hs BKT.006,,Ille qui clausus lapide custoditur
chant,538429,B-TO olv 63,,Dum fortis armatus custodit atrium
chant,270049,CDN-Hsmu M2149.L4,,Custodit dominus*
chant,271036,CDN-Hsmu M2149.L4,,Custodit dominus omnes diligentes se
chant,271308,CDN-Hsmu M2149.L4,,Dum fortis armatus custodit atrium
chant,272739,CDN-Hsmu M2149.L4,,Qui odit animam suam in
chant,676250,CDN-Mlr 18,,Est secretum Valeriane quod tibi
chant,681496,CDN-Mlr 234,,Est secretum Valeriane quod tibi 
chant,229505,CH-E 611,,Dum fortis armatus custodit atrium
chant,231150,CH-E 611,,Custodit dominus omnes diligentes se
chant,231162,CH-E 611,,Alleluia alleluia alleluia
chant,232869,CH-E 611,,Est secretum Valeriane quod tibi
chant,668217,CH-E-121,,Qui custodit veritatem in saeculum 
chant,668218,CH-E-121,,Dominus erigit elisos dominus solvit
chant,668390,CH-E-121,,Multae tribulationes justorum et de
chant,669364,CH-E-121,,Custodit dominus animas sanctorum suorum 
chant,254646,CH-Fco 2,,Cum fortis armatus custodit atrium
chant,256025,CH-Fco 2,,Custodit dominus omnia ossa eorum 
chant,256902,CH-Fco 2,,Est secretum Valeriane quod tibi
chant,256913,CH-Fco 2,,Est secretum Valeriane quod tibi
chant,257061,CH-Fco 2,,Qui odit animam suam in
chant,642520,CH-P 18,,Qui custodit veritatem in saeculum
chant,642521,CH-P 18,,Dominus erigit elisos dominus solvit 
chant,643479,CH-P 18,,Multae tribulationes justorum et de 
chant,471915,CH-SGs 388,,Custodit dominus omnes diligentes se
chant,472598,CH-SGs 388,,Dum fortis armatus custodit atrium
chant,474785,CH-SGs 388,,Est secretum Valeriane quod tibi
chant,474806,CH-SGs 388,,Est secretum Valeriane quod tibi
chant,456988,CH-SGs 390,,Custodit dominus omnes diligentes se
chant,457637,CH-SGs 390,,Dum fortis armatus custodit atrium
chant,458027,CH-SGs 390,,Custodit dominus alleluia alleluia alleluia
chant,459898,CH-SGs 391,,Est secretum Valeriane quod tibi
chant,459919,CH-SGs 391,,Est secretum Valeriane quod tibi
chant,460514,CH-SGs 391,,Dominus custodit te ab omni
chant,686916,D-Gsta AB III 9,,Multae tribulationes justorum et de
chant,689062,D-Gsta AB III 9,,Multae tribulationes justorum et de
chant,616407,D-KA Aug. LX,,Dum fortis armatus custodit atrium
chant,618331,D-KA Aug. LX,,Est secretum Valeriane quod tibi 
chant,619515,D-KA Aug. LX,,Dominus custodit te ab omni
chant,601929,D-KNd 1161,,Custodit dominus*
chant,602732,D-KNd 1161,,Custodit dominus omnes diligentes se
chant,602966,D-KNd 1161,,Dum fortis armatus custodit atrium
chant,603814,D-KNd 1161,,Qui odit animam suam in 
chant,333846,D-KNd 215,,Est secretum Valeriane quod tibi
chant,333866,D-KNd 215,,Est secretum Valeriane quod tibi
chant,697229,D-TRs F-onwg (fragment),,Dominus custodit te ab omni
chant,697630,D-TRs F-svu8 (fragment),,Dominus custodit*
chant,697839,D-TRs F-vwh5 (fragment),,[In finem psalmus David | Caeli 
chant,588512,D-WII 2,,O vos angeli qui custoditis
chant,431541,E-SA 5,,Accedentes principes sacerdotum ad Pilatum 
chant,683905,EC-BSF8,,Nisi dominus aedificaverit domum in
chant,683963,EC-BSF8,,In finem psalmus David |
chant,683977,EC-BSF8,,Dominus regnavit exsultet terra laetentur
chant,684860,EC-BSF8,,Dominus custodit te ab omni
chant,201249,F-CA 38,,Dum fortis armatus custodit atrium
chant,201641,F-CA 38,,Accedentes principes sacerdotum ad Pilatum
chant,205062,F-CA 38,,Dominus custodit te ab omni
chant,205311,F-CA 38,,Est secretum Valeriane quod tibi
chant,205535,F-CA 38,,Qui odit animam suam in
chant,394852,F-Pn lat. 1090,,Dum fortis armatus atrium suum 
chant,395202,F-Pn lat. 1090,,Accedentes principes sacerdotum ad Pilatum
chant,396599,F-Pn lat. 1090,,Custodit dominus omnia ossa eorum 
chant,397659,F-Pn lat. 1090,,Est secretum Valeriane quod tibi 
