id,title,incipit,siglum
243157,,Custodit dominus omnes diligentes se,A-Gu 29
244066,,Custodit dominus omnes diligentes se,A-Gu 29
244739,,Dum fortis armatus custodit atrium,A-Gu 29
247379,,Dominus custodit te ab omni,A-Gu 29
653946,,Dum fortis armatus custodit atrium,A-Gu Ms. 211
296840,,Dum fortis armatus custodit,A-KN CCl 1010
299468,,Dum fortis armatus custodit,A-KN CCl 1011
289044,,Dum fortis armatus custodit atrium,A-KN CCl 1013
302129,,Dum fortis armatus custodit,A-KN CCl 1015
291679,,Dum fortis armatus custodit,A-KN CCl 1017
337218,,Dum fortis armatus custodit,A-LIb 290
438457,,Dum fortis armatus custodit,A-SF XI 480
505598,,Cum fortis armatus custodit,A-VOR 287
509671,,Caeli dei judicia custodit,A-VOR 287
509694,,Sic a deo custoditur virgo,A-VOR 287
513410,,Dum fortis armatus custodit,A-Wda C-11
543175,,Custodit dominus omnes diligentes se,A-Wn 1799**
544009,,Custodit dominus omnes diligentes se,A-Wn 1799**
544241,,Cum fortis armatus custodit atrium,A-Wn 1799**
544927,,Custodit dominus*,A-Wn 1799**
550716,,Dum fortis armatus custodit atrium,A-Wn Cod. 1890
571833,,Custodite judicium et facite justitiam,A-Wn Mus.Hs.15489
572958,,Cum fortis armatus custodit atrium ,A-Wn Mus.Hs.15489
574262,,Dominus custodit te ab omni ,A-Wn Mus.Hs.15489
588834,,Dominus custodit te ab omni,AUS-Msl 096.1/R66A
588610,,O vos angeli qui custoditis,B-DEa 9
706047,,Ille qui clausus lapide custoditur,B-Gu Hs BKT.006
538429,,Dum fortis armatus custodit atrium,B-TOb olv 63
541543,,Cum fortis armatus custodit,B-TOb olv 64
270049,,Custodit dominus*,CDN-Hsmu M2149.L4
271036,,Custodit dominus omnes diligentes se,CDN-Hsmu M2149.L4
271308,,Dum fortis armatus custodit atrium,CDN-Hsmu M2149.L4
678470,,Dum fortis armatus custodit atrium,CDN-Mlr MS Medieval 0111
694347,,Cum fortis armatus custodit atrium,CDN-Ttfl MSS 09700
668217,,Qui custodit veritatem in saeculum ,CH-E 121
669364,,Custodit dominus animas sanctorum suorum ,CH-E 121
229505,,Dum fortis armatus custodit atrium,CH-E 611
231150,,Custodit dominus omnes diligentes se,CH-E 611
275223,,Dum fortis armatus custodit atrium ,CH-ENstb Cod. 103
254646,,Cum fortis armatus custodit atrium,CH-Fco Ms. 2
256025,,Custodit dominus omnia ossa eorum ,CH-Fco Ms. 2
642520,,Qui custodit veritatem in saeculum,CH-P 18
471915,,Custodit dominus omnes diligentes se,CH-SGs 388
472598,,Dum fortis armatus custodit atrium,CH-SGs 388
475883,,Alleluia iv (Custodit dominus) ,CH-SGs 388
456988,,Custodit dominus omnes diligentes se,CH-SGs 390
457637,,Dum fortis armatus custodit atrium,CH-SGs 390
458027,,Custodit dominus alleluia alleluia alleluia,CH-SGs 390
460514,,Dominus custodit te ab omni,CH-SGs 391
647478,,Dum fortis armatus custodit atrium,CZ-Pst DE I 7
464143,,Dum fortis armatus custodit atrium,CZ-Pu VI.E.4c
588730,,Custodit dominus animas sanctorum suorum,CZ-Pu XI C 3
468498,,Dum fortis armatus custodit,CZ-Pu XIV B 13
180153,,Cum fortis armatus custodit,D-AAm G 20
