id,title,incipit,siglum
693541,,Gloria*,CDN-Mlr MS Medieval 0081
713883,,Gloria patri et filio et ,D-B Mus. ms. 40 222
713893,,Gloria patri et filio et ,D-B Mus. ms. 40 222
713903,,Gloria patri et filio et,D-B Mus. ms. 40 222
278517,,Gloria patri et filio et,HR-Dsmbb XI
278520,,Gloria patri et filio et,HR-Dsmbb XI
278523,,Gloria patri et filio et,HR-Dsmbb XI
278800,,Gloria patri et filio et,HR-Dsmbb XI
278810,,Gloria patri et filio et,HR-Dsmbb XI
278823,,Gloria patri et filio et,HR-Dsmbb XI
328615,,Gloria patri et filio et,PL-KIk 1
328626,,Gloria patri et filio et,PL-KIk 1
328635,,Gloria patri et filio et,PL-KIk 1
328638,,Gloria patri et filio et,PL-KIk 1
357941,,Gloria patri et filio et,SI-Lna 19 (olim 18)
357951,,Gloria patri et filio et,SI-Lna 19 (olim 18)
357961,,Gloria patri et filio et,SI-Lna 19 (olim 18)
675576,,Gloria patri et filio et,US-Cai 1911.142b
675577,,Gloria patri et filio et,US-Cai 1911.142b
675578,,Gloria patri et filio et ,US-Cai 1911.142b
