id,title,incipit,siglum
248197,,Doleo super te frater mi,A-Gu 30
286673,,Doleo super te frater mi,A-KN CCl 1012
294466,,Doleo super te frater mi,A-KN CCl 1018
305260,,Doleo super te frater mi,A-KN CCl 589
307343,,Doleo super te frater mi,A-KR VI/258
338263,,Doleo super te frater mi,A-LIb 290
439773,,Doleo super te frater mi,A-SF XI 480
509150,,Doleo super te frater mi,A-VOR 287
510686,,Doleo super te frater mi,A-Wda C-10
534860,,Doleo super te frater mi,A-Wda D-4
554093,,Doleo super te frater mi ,A-Wn Cod. 1890
230638,,Doleo super te frater mi,CH-E 611
181060,,Doleo super te frater mi,D-AAm G 20
199181,,Doleo super te frater mi,D-B Mus. 40047
187105,,Doleo super te frater mi,D-BAs Msc.Lit.25
258045,,Doleo super te frater mi,D-FUl Aa 55
619119,,Doleo super te frater mi,D-KA Aug. LX
334012,,Doleo super te frater mi ,D-KNd 215
348796,,Doleo super te frater mi,D-MZb D
377095,,Doleo super te frater mi,D-Mbs Clm 4306
435463,,Doleo super te frater mi,D-Sl HB.I.55
312686,,Doleo super te frater mi,DK-Kk 3449 8o [08] VIII
481724,,Doleo super te frater mi,E-Tc 44.1
487244,,Doleo super te frater mi,E-Tc 44.2
202384,,Doleo super te frater mi,F-CA 38
395617,,Doleo super te frater mi,F-Pn Lat. 1090
395618,,Doleo super te frater mi,F-Pn Lat. 1090
401442,,Doleo super te frater mi ,F-Pn Lat. 12044
407782,,Doleo super te frater mi,F-Pn Lat. 12601
418187,,Doleo super te frater mi,F-Pn NAL 1535
450707,,Doleo super te*,F-Pn Lat. 1085
500935,,Doleo super te frater mi,F-VAL 114
382063,,Doleo super te frater mi,GB-Ob MS. Canon. Liturg. 202
386086,,Doleo super te frater mi,GB-Ob MS. Laud Misc. 284
275861,,Doleo super te frater mi,HR-Dsmbb III
163573,,Doleo super te frater mi,I-AO 6
174559,,Doleo super te frater mi,I-Ad 5
237639,,Doleo super te frater mi,I-Far s.c.
370203,,Doleo super te frater mi,I-Lc 601
355025,,Doleo super te frater mi,I-MZ 15/79
428587,,Doleo super te frater mi,I-Rv C.5
569375,,Doleo super te frater mi,I-VCd LXII
576756,,Doleo super te frater mi,I-VCd LXIV
584410,,Doleo super te frater mi ,I-VCd LXXIX
326747,,Doleo super te frater mi ,PL-KIk 1
563040,,Doleo super te frater mi,PL-WRu R 503
597655,,Doleo super te frater mi,PL-WRu I F 401
356856,,Doleo super te frater mi,SI-Lna 19 (olim 18)
263162,,Doleo super te frater mi,TR-Itks 42
218875,,Doleo super te frater mi,V-CVbav B.79
389017,,Doleo super te frater mi,MA Impr. 1537
