type,siglum,id,incipit
chant,A-Gu,243624,Notum fecit dominus alleluia salutare
chant,A-Gu,243698,Verbum caro factum est alleluia
chant,A-Gu,243824,Ipse invocabit me alleluia pater
chant,A-Gu,243917,Fluminis impetus laetificat alleluia civitatem
chant,A-Gu,243932,Adorate dominum alleluia in aula
chant,A-Gu,243933,Adorate dominum alleluia omnes angeli
chant,A-Gu,243934,Notum fecit dominus alleluia salutare
chant,A-Gu,244102,Alleluia alleluia alleluia alleluia
chant,A-Gu,244112,Alleluia alleluia alleluia alleluia alleluia 
chant,A-Gu,244113,Hymnum dicamus alleluia domino deo
chant,A-Gu,244114,Alleluia alleluia alleluia alleluia alleluia 
chant,A-Gu,244119,Alleluia alleluia alleluia alleluia alleluia
chant,A-Gu,244120,Alleluia alleluia alleluia alleluia alleluia
chant,A-Gu,244122,Alleluia alleluia alleluia alleluia alleluia
chant,A-Gu,244124,Alleluia alleluia alleluia alleluia alleluia
chant,A-Gu,244147,Alleluia alleluia
chant,A-Gu,244193,Alleluia alleluia alleluia
chant,A-Gu,244232,Alleluia alleluia
chant,A-Gu,244274,Alleluia alleluia alleluia
chant,A-Gu,244312,Alleluia alleluia alleluia
chant,A-Gu,244348,Alleluia alleluia alleluia alleluia
chant,A-Gu,244381,Alleluia alleluia alleluia alleluia
chant,A-Gu,244382,Alleluia alleluia alleluia
chant,A-Gu,244383,Alleluia alleluia alleluia
chant,A-Gu,244384,Alleluia alleluia alleluia
chant,A-Gu,244389,Hymnum cantate nobis alleluia de
chant,A-Gu,246451,Exaltabuntur cornua justi alleluia
chant,A-Gu,246453,Lux orta est justo alleluia*
chant,A-Gu,246754,Exaltabuntur cornua justi alleluia
chant,A-Gu,246756,Lux orta est justo alleluia
chant,A-Gu,247447,Alleluia alleluia alleluia alleluia alleluia 
chant,A-Gu,247448,Alleluia alleluia alleluia
chant,A-Gu,247452,Postulavi patrem meum alleluia dedit
chant,A-Gu,247478,In resurrectione tua Christe alleluia
chant,A-Gu,247489,Alleluia lapis revolutus est ab
chant,A-Gu,247491,Alleluia sancta dei genetrix virgo
chant,A-Gu,247494,Ite nuntiate fratribus meis alleluia
chant,A-Gu,247499,Alleluia alleluia alleluia*
chant,A-Gu,247517,Cognoverunt dominum alleluia in fractione
chant,A-Gu,247518,Alleluia Cognoverunt dominum alleluia in
chant,A-Gu,247522,Ite nuntiate fratribus meis alleluia
chant,A-Gu,247524,Alleluia Resurrexit dominus alleluia sicut
