type,siglum,id,incipit
sequence,A-Gu,627060,Gaude mater luminis quam divini numinis
sequence,A-Gu,628334,Gaude mater luminis 
sequence,A-Gu,629750,Gaude mater luminis quam divini numinis
sequence,A-Gu,635126,Gaude mater luminis
sequence,A-LIb,624976,Gaude mater luminis
sequence,A-LIb,626547,Gaude mater luminis quam divini numinis
sequence,CZ-Pap,631656,Gaude mater luminis
sequence,D-KA,630820,Gaude mater luminis quam divini numinis
sequence,D-KA,631212,Gaude mater luminis
sequence,D-KA,632180,Gaude mater luminis quam divini numinis
sequence,D-KA,633236,Gaude mater luminis quam divini numinis
sequence,D-Kl,630382,Gaude mater luminis
sequence,D-LEu,629975,Gaude mater luminis quam divini numinis
sequence,D-Mbs,628326,Gaude mater luminis 
sequence,D-Mbs,630879,Gaude mater luminis
sequence,D-Mbs,633142,Gaude mater luminis quam divini numinis
sequence,D-Mbs,633268,Gaude mater luminis quam divini numinis
sequence,D-Mbs,634633,Gaude mater luminis quam divini numinis
sequence,D-Mbs,635183,Gaude mater luminis quam divini numinis
sequence,D-Mbs,636561,Gaude mater luminis quam divini numinis
sequence,D-Mu,631818,Gaude mater luminis
sequence,D-Rtt,636601,Gaude mater luminis quam divini numinis
sequence,D-Rtt,636643,Gaude mater luminis
sequence,D-Rtt,637395,Gaude mater luminis
sequence,D-Sl,625744,Gaude mater luminis
sequence,GB-Lbl,626212,Gaude mater luminis quam divini numinis
sequence,GB-Ob,626658,Gaude mater luminis
sequence,GB-Ob,628432,Gaude mater luminis
sequence,GB-Ob,630679,Gaude mater luminis
sequence,I-CF,632953,Gaude mater luminis quam divini numinis
sequence,NL-Uu,630300,Gaude mater luminis quam divini numinis
sequence,PL-WRu,634235,Gaude mater luminis
sequence,SK-BRa,631443,Gaude mater luminis
sequence,XX-NN,636865,Gaude mater luminis quam divini numinis
