type,siglum,id,incipit
chant,A-Gu,248197,Doleo super te frater mi
chant,A-KN,286673,Doleo super te frater mi
chant,A-KN,294466,Doleo super te frater mi
chant,A-KN,305260,Doleo super te frater mi
chant,A-KR,307343,Doleo super te frater mi
chant,A-LIb,338263,Doleo super te frater mi
chant,A-SF,439773,Doleo super te frater mi
chant,A-VOR,509150,Doleo super te frater mi
chant,A-Wda,510686,Doleo super te frater mi
chant,A-Wda,534860,Doleo super te frater mi
chant,A-Wn,554093,Doleo super te frater mi 
chant,CH-E,230638,Doleo super te frater mi
chant,D-AAm,181060,Doleo super te frater mi
chant,D-B,199181,Doleo super te frater mi
chant,D-BAs,187105,Doleo super te frater mi
chant,D-FUl,258045,Doleo super te frater mi
chant,D-KA,619119,Doleo super te frater mi
chant,D-KNd,334012,Doleo super te frater mi 
chant,D-MZb,348796,Doleo super te frater mi
chant,D-Mbs,377095,Doleo super te frater mi
chant,D-Sl,435463,Doleo super te frater mi
chant,DK-Kk,312686,Doleo super te frater mi
chant,E-Tc,481724,Doleo super te frater mi
chant,E-Tc,487244,Doleo super te frater mi
chant,F-CA,202384,Doleo super te frater mi
chant,F-Pn,395617,Doleo super te frater mi
chant,F-Pn,395618,Doleo super te frater mi
chant,F-Pn,401442,Doleo super te frater mi 
chant,F-Pn,407782,Doleo super te frater mi
chant,F-Pn,418187,Doleo super te frater mi
chant,F-Pn,450707,Doleo super te*
chant,F-VAL,500935,Doleo super te frater mi
chant,GB-Ob,382063,Doleo super te frater mi
chant,GB-Ob,386086,Doleo super te frater mi
chant,HR-Dsmbb,275861,Doleo super te frater mi
chant,I-AO,163573,Doleo super te frater mi
chant,I-Ad,174559,Doleo super te frater mi
chant,I-Far,237639,Doleo super te frater mi
chant,I-Lc,370203,Doleo super te frater mi
chant,I-MZ,355025,Doleo super te frater mi
chant,I-Rv,428587,Doleo super te frater mi
chant,I-VCd,569375,Doleo super te frater mi
chant,I-VCd,576756,Doleo super te frater mi
chant,I-VCd,584410,Doleo super te frater mi 
chant,PL-KIk,326747,Doleo super te frater mi 
chant,PL-WRu,563040,Doleo super te frater mi
chant,PL-WRu,597655,Doleo super te frater mi
chant,SI-Lna,356856,Doleo super te frater mi
chant,TR-Itks,263162,Doleo super te frater mi
chant,V-CVbav,218875,Doleo super te frater mi
chant,XX-NN,389017,Doleo super te frater mi
