type,siglum,id,incipit
chant,CDN-Mlr,693541,Gloria*
chant,D-B,713883,Gloria patri et filio et 
chant,D-B,713893,Gloria patri et filio et 
chant,D-B,713903,Gloria patri et filio et
chant,HR-Dsmbb,278517,Gloria patri et filio et
chant,HR-Dsmbb,278520,Gloria patri et filio et
chant,HR-Dsmbb,278523,Gloria patri et filio et
chant,HR-Dsmbb,278800,Gloria patri et filio et
chant,HR-Dsmbb,278810,Gloria patri et filio et
chant,HR-Dsmbb,278823,Gloria patri et filio et
chant,PL-KIk,328615,Gloria patri et filio et
chant,PL-KIk,328626,Gloria patri et filio et
chant,PL-KIk,328635,Gloria patri et filio et
chant,PL-KIk,328638,Gloria patri et filio et
chant,SI-Lna,357941,Gloria patri et filio et
chant,SI-Lna,357951,Gloria patri et filio et
chant,SI-Lna,357961,Gloria patri et filio et
chant,US-Cai,675576,Gloria patri et filio et
chant,US-Cai,675577,Gloria patri et filio et
chant,US-Cai,675578,Gloria patri et filio et 
