id,name,description
2360,"Abdonis, Sennis","Abdon and Sennen, Martyrs"
2311,Acacii et sociorum,"Acacius and Companions, Martyrs"
2104,Ad Nunc Dimittis TP,"Antiphons for the Nunc Dimittis canticle, Eastertide"
2228,Adalberti,"Adalbert of Prague, Bishop and Martyr"
2092,"Adalberti,8",In week after Adalbert
4552,Adalhardi Corbeiensis,"Adalard (Adalhard) of Corbie, Abbot"
2722,Adalheidae,"Adelaide, Empress"
2516,Adriani,"Adrian, Martyr"
2517,Aegidii,"Aegidius (Giles), Abbot"
4527,"Aemigdii, Episc. et Martyr","Emygdius (Emidius), Bishop Martyr"
4263,Aemiliani Cucullati,"Aemilianus Cucullatus, Confessor, Relics in San Millan de la Cogolla"
2435,Afrae,"Afra, Martyr"
2436,Agapiti,"Agapitus, Martyr"
1482,"Agapiti,8",In week after Agapitus
2183,Agathae,"Agatha, Virgin Martyr"
1483,"Agathae,8",In week after Agatha
2116,Agnetis,"Agnes, Virgin Martyr"
4264,Agnetis Assisiensis,"Agnes of Assisi, younger sister to Clare"
4612,Agnetis secundo,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)"
1484,"Agnetis,8",In week after Agnes
2518,Aichardi,"Aichardus (Achard, Aichadrus, Aycadrius), Abbot"
2312,"Albani, Mart.","Albanus (Alban) of Mainz, Martyr"
2437,Alberti,"Albert of Trapani, Confessor and Carmelite Friar"
2801,Alberti Magni,"Albert the Great (Albertus Magnus), Bishop of Regensburg and ""Doctor Universalis"""
2210,"Albini, Epi.","Albinus (Aubin), Bishop of Angers"
2117,Aldegundis,"Aldegundis, Virgin"
2257,Alexandri et sociorum,"Alexander and Eventius, Martyrs"
2361,Alexis,"Alexis, the Man of God"
4170,Aloisii Gonzagae,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students"
4617,Alphegi,"Alphege (Aelfeah, Elphege, Aelfeach),Archbishop of Canterbury (1006-1012)"
4171,Alphonsi Mariae de Ligorio,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church"
2184,Amandi,"Amand (Amandus), Bishop"
2583,Amati,"Amatus, Bishop of Sens"
2258,Amatoris,"Amator (Amatre), Bishop of Auxerre"
2229,Ambrosii,"Ambrose, Bishop of Milan, Doctor"
2230,Ambrosii TP,"Ambrose, Eastertide"
2118,Anastasii,"Anastasius the Persian, Martyr"
2661,Andreae,"Andrew, Apostle"
4172,Andreae Avellini,"Andrew, Avellino (Lancelotto), Confessor"
2185,Andreae Corsini,"Andrew Corsini, Carmelite ""apostle of Florence"""
1485,"Andreae,8",In week after Andrew
4173,Angelae Mericiae,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns"
2662,Aniani,"Anianus (Aignan), Bishop of Orleans"
2362,Annae,"Anne, Mother of Mary"
4492,"Annuntiatio Mariae, Dom. infra oct.",Sunday after Annunciation of Mary
1486,"Annuntiatio Mariae,8",In week after Annunciation of Mary
2212,Annuntiatio TP,"Annunciation of Mary, Eastertide"
4174,Anselmi,"Anselm, Bishop, Confessor, Doctor of the Church"
2186,Ansgarii,"Anskar, Bishop and Confessor"
2119,Antonii,"Antony, Abbot"
4175,Antonii Mariae Claret,"Antonio Maria Claret y Clara, Bishop, Confessor, Spanish Prelate and Missionary"
4176,Antonii Mariae Zaccaria,"Antonio Maria Zaccaria, Confessor, Founder of the Clerks Regular of St. Paul (Barnabites)"
2313,Antonii Patavini,"Anthony of Padua, Doctor"
2519,Antonini,"Antoninus, Martyr"
4177,Antonini Episcopi,"Antoninus, Archbishop of Florence"
2363,Apollinaris,"Apollinaris, Bishop of Ravenna"
4178,Apolloniae,"Apollonia, Virgin Martyr"
2120,"Aquilae, Priscae","Aquila and Prisca, Virgin Martyrs"
4613,Arbogasti Argentoratensis,"Arbogast, Bishop of Strasbourg"
4553,Aredii Nivernensis,"Aredius (Aregius, Arigius, Agricius, Aré) of Nevers, Bishop"
2438,Arnulfi,"Arnulf, Bishop of Metz"
2364,Arnulfi Metensis,"Arnulfus (Arnoul), Bishop of Metz"
1490,"Ascensio Domini,8",In week after Ascension
4206,"Ascensionis Domini, in vigilia",Eve of Ascension
1491,"Assumptio Mariae,8",In week after Assumption of Mary
2260,Athanasii,"Athanasius, Archbishop of Alexandria"
4611,Attalae,"Attala (Atala, Attalia, Attale) of Strasbourg, first abbess of convent of St Stephen"
2723,Auberti,"Aubert (Aubertus), Bishop of Cambrai"
2440,Audoeni,"Audoenus (Ouen), Bishop of Rouen"
2520,Audomari,"Audomarus (Omer), Bishop"
2441,Augustini,"Augustine, Bishop and Doctor"
2261,Augustini Cant.,"Augustine (Austin), of Canterbury"
4528,"Augustini, conv.","Conversion of Augustine, Bishop and Doctor"
1492,"Augustini,8",In week after Augustine
2585,Aureae,"Aurea, Abbess in Paris"
4614,Aureliae Argentoratensis,"Aurelia, Virgin (4th century)"
4265,Austremonii,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne"
4489,Aviti,"Avitus, Abbot and Confessor, born at Aurillac"
2314,Baboleni,"Babolenus, Abbot"
4601,Babylae,"Babylas, Martyr, 12th Bishop of Antioch"
4602,Babylae Pampilonensis,"Babylas, Bishop of Pamplona"
2442,Balbinae,"Balbina, Virgin Martyr"
2121,Balthildis,"Balthildis (Bathildis), Queen"
2724,Barbarae,"Barbara, Virgin Martyr"
2187,Barbati,"Barbatus (Barbas), Bishop of Benevento"
2315,Barnabae,"Barnabas, Apostle"
2443,Bartholomaei,"Bartholomew, Apostle"
4566,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione","Dedication of the Basilica of Our Lady of the Martyrs, Lisbon"
2316,Basilidis et Soc.,"Basilides and Companions, Martyrs"
2122,Basilii,"Basil of Ancyra, Martyr"
2317,"Basilii, Doct.","Basil the Great, Doctor"
4608,Bavonis,"Bavo (Aldowin, Allowin) of Ghent"
2262,Bedae,"The Venerable Bede, Doctor"
2586,Benedictae,"Benedicta, Virgin Martyr"
2213,Benedicti,"Benedict, Abbot"
2214,Benedicti TP,"Benedict, Eastertide"
1493,"Benedicti, Fer.3","Benedict, for Tuesday within the octave"
1494,"Benedicti,8",In week after Benedict
2663,Benigni,"Benignus of Dijon, Martyr"
2444,Bernardi,"Bernard, Abbot and Doctor"
1495,"Bernardi,8",In week after Bernard
4266,Bernardini Senensis,"Bernardinus degl' Albizzeschi of Siena, Confessor"
4534,"Bernardini Senensis, transl.",Moving of relics of Bernardinus degl' Albizzeschi of Siena
4555,Bernwardi Episcopi Hildesheimensis,"Bernward, Bishop of Hildesheim"
2587,Birgittae,"Bridget of Sweden, Matron"
2188,Blasii,"Blaise, Bishop of Sebastea, Martyr"
1496,"Blasii,8",In week after Blaise
4184,Bonaventurae,"Bonaventure, Bishop, Confessor, Doctor of the Church"
