id,name,feast_code
2360,"Abdonis, Sennis",14073000
2311,Acacii et sociorum,14062220
1471,Ad Benedicite,16001000
1472,Ad Benedictus,16002000
1473,Ad Completorium,16006000
1474,Ad Magnificat,16003000
1475,Ad Mandatum,07065010
1476,Ad Missam,16012000
1477,Ad Nunc Dimittis,16005000
2104,Ad Nunc Dimittis TP,16005080
1478,Ad Processionem,16009000
1479,Ad Suffragium,15000000
1470,Ad aquam benedictio,16010000
2797,Ad aspersionem aquae benedictae,16023000
2798,Ad aspersionem aquae benedictae TP,16023080
2800,Ad lavandum altaria,16024000
1480,Ad visitandum infirmum,16013000
2228,Adalberti,14042310
2092,"Adalberti,8",14042318
4552,Adalhardi Corbeiensis,14010220
2722,Adalheidae,14121600
1481,Additamenta,17001000
2516,Adriani,14091000
2582,Adventus Ewaldorum,14102910
2434,Adventus Walburgae,14080410
2517,Aegidii,14090100
4527,"Aemigdii, Episc. et Martyr",14080530
4263,Aemiliani Cucullati,14111220
2435,Afrae,14080500
2436,Agapiti,14081800
1482,"Agapiti,8",14081808
2183,Agathae,14020500
1483,"Agathae,8",14020508
2116,Agnetis,14012100
4264,Agnetis Assisiensis,14111610
4612,Agnetis secundo,14012840
1484,"Agnetis,8",14012108
2518,Aichardi,14091520
2312,"Albani, Mart.",14062100
2437,Alberti,14080720
2801,Alberti Magni,14111550
2210,"Albini, Epi.",14030100
2117,Aldegundis,14013000
2257,Alexandri et sociorum,14050310
2361,Alexis,14071700
4170,Aloisii Gonzagae,14062120
4617,Alphegi,14041920
4171,Alphonsi Mariae de Ligorio,14080210
2184,Amandi,14020620
2583,Amati,14101900
2258,Amatoris,14050130
2229,Ambrosii,14040400
2230,Ambrosii TP,14040480
2118,Anastasii,14012210
2661,Andreae,14113000
4172,Andreae Avellini,14111010
2185,Andreae Corsini,14020400
1485,"Andreae,8",14113008
4173,Angelae Mericiae,14053120
2584,Angeli Custodis,14100220
2662,Aniani,14111710
2362,Annae,14072610
2211,Annuntiatio Mariae,14032500
4492,"Annuntiatio Mariae, Dom. infra oct.",14032501
1486,"Annuntiatio Mariae,8",14032508
2212,Annuntiatio TP,14032580
4174,Anselmi,14042100
2186,Ansgarii,14020310
1487,Antiphonae Majores,01048010
2119,Antonii,14011700
4175,Antonii Mariae Claret,14102330
4176,Antonii Mariae Zaccaria,14070500
2313,Antonii Patavini,14061300
2519,Antonini,14090200
4177,Antonini Episcopi,14051010
2363,Apollinaris,14072320
4178,Apolloniae,14020900
2259,Appar. Michaelis,14050800
2120,"Aquilae, Priscae",14011810
4613,Arbogasti Argentoratensis,14072120
4553,Aredii Nivernensis,14081660
2438,Arnulfi,14081600
2364,Arnulfi Metensis,14071810
1489,Ascensio Domini,08065000
1490,"Ascensio Domini,8",08065008
4206,"Ascensionis Domini, in vigilia",08064001
2439,Assumptio Mariae,14081500
1491,"Assumptio Mariae,8",14081508
2260,Athanasii,14050200
4611,Attalae,14120310
2723,Auberti,14121310
2440,Audoeni,14082410
2520,Audomari,14090920
2441,Augustini,14082800
2261,Augustini Cant.,14052610
4528,"Augustini, conv.",14050510
1492,"Augustini,8",14082808
2585,Aureae,14100410
4554,Aureae Ostiensis,14082430
4614,Aureliae Argentoratensis,14101510
4265,Austremonii,14110160
4489,Aviti,14061720
4183,BMV Immaculatae a Sacro Numismate,14112700
4179,BMV a Rosario,14100730
4267,BMV ab Exilio,15031050
4180,BMV de Bono Consilio,14042600
4181,BMV de Guadalupe,14121210
4268,BMV de Monte Carmelo,14071610
4182,BMV de Perpetuo Succursu,14062730
2314,Baboleni,14062610
4601,Babylae,14012420
4602,Babylae Pampilonensis,14103020
2442,Balbinae,14082850
2121,Balthildis,14013010
2724,Barbarae,14120400
2187,Barbati,14021900
2315,Barnabae,14061100
2443,Bartholomaei,14082400
4566,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione",14051320
2316,Basilidis et Soc.,14061200
2122,Basilii,14010200
2317,"Basilii, Doct.",14061400
4608,Bavonis,14100140
2262,Bedae,14052600
2586,Benedictae,14100810
2213,Benedicti,14032100
2214,Benedicti TP,14032180
1493,"Benedicti, Fer.3",14032103
1494,"Benedicti,8",14032108
4445,Benedictio crucis,16048000
4533,Benedicti Anianensis,14021100
2663,Benigni,14110140
2444,Bernardi,14082010
1495,"Bernardi,8",14082018
4266,Bernardini Senensis,14052010
