id,name,description
2257,Alexandri et sociorum,"Alexander and Eventius, Martyrs"
2258,Amatoris,"Amator (Amatre), Bishop of Auxerre"
4173,Angelae Mericiae,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns"
4177,Antonini Episcopi,"Antoninus, Archbishop of Florence"
2259,Appar. Michaelis,Appearing of Michael the Archangel
2260,Athanasii,"Athanasius, Archbishop of Alexandria"
2261,Augustini Cant.,"Augustine (Austin), of Canterbury"
4528,"Augustini, conv.","Conversion of Augustine, Bishop and Doctor"
4566,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione","Dedication of the Basilica of Our Lady of the Martyrs, Lisbon"
2262,Bedae,"The Venerable Bede, Doctor"
4534,"Bernardini Senensis, transl.",Moving of relics of Bernardinus degl' Albizzeschi of Siena
2826,Bonifatii Martyris,
2263,Cantiorum,"Cantius, Cantianus and Cantianilla, Martyrs"
2264,Carauni,"Caraunus, Deacon and Martyr"
2265,Coronae,"Corona, Martyr"
4616,De corona domini,Crown of the Lord
4497,Desiderii Lingon,"Desiderius (Didier), Martyr, Bishop of Langres"
2266,Dunstani,"Dunstan, Archbishop of Canterbury"
2267,Elev. Elis. Hung.,Elevation of Elizabeth's relics
2268,Erici,"Eric IX of Sweden, King and Martyr"
2269,Euticii,"Euticius (Eutice, Euthycius), Martyr"
4191,"Felicis, Pont.","Felix I, Martyr and Pope"
2270,Floriani,"Florian, Martyr"
2271,Gangulfi,"Gangulfus (Gengoul, Gangulf, Gengulf, Gangulphus, Gangolfus, Gengulfus), Martyred Knight"
2272,Germani Parisien.,"Germanus (Germain), Bishop of Paris"
2273,Godehardi,"Godehard (Gothard), Bishop of Hildesheim"
2274,"Gordiani, Epimachi","Gordian and Epimachus, Martyrs"
2880,Gregorii VII Papae Confessoris,
2275,Hadulfi,"Hadulf, Abbot and Bishop of Arras"
4318,Hilarii Arelatensis,"Hilary (Hilarius or Hilarus), Archbishop of Arles, Confessor"
4454,In dedicatione S. Mariae,"Commemoration of the date when Boniface IV dedicated the Pantheon in Rome to the service of God in the name of ""S. Mariae semper Virginis et omnium Martyrum"""
2276,Inventio Crucis,Finding of the Cross
4538,Ivonis de Kermartin,"Ivo of Kermartin (Yves Hélory, Yvo, Ives)"
2277,Joannis Port. Lat.,John before the Latin Gate
2278,Judae Quiriaci,"Judas Quiriacus (Cyriacus), Bishop"
2279,Juvenalis,"Juvenal, Bishop of Narni"
4331,Mafaldae Reginae,Portuguese princess and queen; nun (Cistercian order) in the Convent of Arouca
2281,Mamerti,"Mamertus, Bishop of Vienne"
2282,Maximini,"Maximinus, Bishop of Trier"
2283,Monicae,"Monica, Mother of Augustine"
2972,Monicae Viduae,
4346,"Nerei, Achillei","Nereus and Achilleus, Roman Martyrs"
2284,"Oct. Philippi,Jacobi","Octave of Philip and James, Apostles"
2309,Octava Floriani,Octave of Florian
2285,Octava Servatii,Octave of Servatius
2286,Orientii,"Orientius (Orens), Bishop"
2287,Pancratii et Soc.,"Pancras and Companions, Martyrs"
4541,Paschalis Baylon,"Pascual Baylón, Confessor"
4573,Petri Regalati,"Peter Regalado, Franciscan friar"
4535,Petri de Tarentasia,"Peter II of Tarentaise, Archbishop"
2288,Petronillae,"Petronilla, Virgin"
4366,Philippi Nerii,"Philip Neri, Confessor, Apostle of Rome and founder of the ""Oratory"""
2289,"Philippi, Jacobi","Philip and James, Apostles"
2290,Pontii,"Pontius, Martyr"
2291,"Pudentianae,Pudentis","Pudentiana and Pudens, Martyrs"
2292,Ragnulfi,"Ragnulf (Rainulf, Renon), Martyr, father of Hadulf (Bishop of Arras)"
4394,Reginae Mariae,The Queenship of Mary
2293,Rictrudis,"Rictrudis, Widow"
4203,Ruperti Bingensis,Rupert of Bingen
2294,Servatii,"Servais (Servatius), Bishop of Tongres"
2295,Sigismundi,"Sigismund, King of Burgundy, Martyr"
2296,Stanislai,"Stanislaus, Bishop of Krakow"
2297,Subventio Martini,Hiding of Martin's relics
2099,Transl. Dominici,Moving of Dominic's relics
4412,Transl. Francisci,The moving of Francis's relics
2298,Transl. Mauritii,Moving of Maurice's relics
2299,Transl. Nicolai,Moving of Nicholas's relics
2300,Transl. Stephani,Moving of Stephen's rellics
2301,Transl. Syri,Moving of Syrus's relics
2302,Transl. Udalrici,Moving of Ulric's relics
2303,Transl. Walburgae,Moving of Walburga's relics
4441,Translatio Wigberti,Moving of Wigbert's relics
2304,Tres Mariae,"Mary, Mary Cleophae, Mary Salome"
2305,Urbani,"Urban I, Pope and Martyr"
2306,Victoris Mauri,"Victor Maurus, Martyr"
4585,"Vincentii, transl. in Brachara",Moving of Vincent of Saragossa's relics to Braga
2310,Wiboradae,"Wiborada, Virgin Martyr"
2307,Wironi,"Wiro, ""Apostle"" of southern Netherlands"
2308,Zenobii,"Zenobius, Bishop of Florence"
