id,feast_code,name,description
1944,00000001,LITURA,Indicates that the liturgical occasion is unknown or missing due to an erasure in the manuscript or other removal (e.g. fragmentation) of information that was previously present.
1927,01000000,In tempore Adventus,"General, in Advent"
1657,01001000,Dom. Adventus,Sundays in Advent
1709,01002000,Fer. 2 Adventus,Mondays in Advent
1740,01003000,Fer. 3 Adventus,Tuesdays in Advent
1769,01004000,Fer. 4 Adventus,Wednesdays in Advent
1981,01007000,Sabb. Adventus,Saturdays in Advent
1903,01008000,Hebd. Adventus,Weekdays in Advent
1581,01011000,Dom. 1 Adventus,1st Sunday of Advent
1712,01012000,Fer. 2 Hebd. 1 Adv.,"Monday, 1st week, Advent"
1743,01013000,Fer. 3 Hebd. 1 Adv.,"Tuesday, 1st week, Advent"
1773,01014000,Fer. 4 Hebd. 1 Adv.,"Wednesday, 1st week, Advent"
1803,01015000,Fer. 5 Hebd. 1 Adv.,"Thursday, 1st week, Advent"
1829,01016000,Fer. 6 Hebd. 1 Adv.,"Friday, 1st week, Advent"
2004,01017000,Sabbato Hebd. 1 Adv.,"Saturday, 1st week, Advent"
1890,01018000,Hebd. 1 Adventus,1st week of Advent
1606,01021000,Dom. 2 Adventus,2nd Sunday of Advent
1714,01022000,Fer. 2 Hebd. 2 Adv.,"Monday, 2nd week, Advent"
1745,01023000,Fer. 3 Hebd. 2 Adv.,"Tuesday, 2nd week, Advent"
1775,01024000,Fer. 4 Hebd. 2 Adv.,"Wednesday, 2nd week, Advent"
1805,01025000,Fer. 5 Hebd. 2 Adv.,"Thursday, 2nd week, Advent"
1831,01026000,Fer. 6 Hebd. 2 Adv.,"Friday, 2nd week, Advent"
2005,01027000,Sabbato Hebd. 2 Adv.,"Saturday, 2nd week, Advent"
1892,01028000,Hebd. 2 Adventus,2nd week of Advent
1977,01030009,Q.T. Adventus,"Ember Days, Advent"
1628,01031000,Dom. 3 Adventus,3rd Sunday of Advent
1717,01032000,Fer. 2 Hebd. 3 Adv.,"Monday, 3rd week, Advent"
1748,01033000,Fer. 3 Hebd. 3 Adv.,"Tuesday, 3rd week, Advent"
