id,name,description
1471,Ad Benedicite,Antiphons for the Benedicite canticle
1472,Ad Benedictus,Antiphons for the Benedictus canticle
1473,Ad Completorium,For Compline
1474,Ad Magnificat,Antiphons for the Magnificat canticle
1477,Ad Nunc Dimittis,Antiphons for the Nunc Dimittis canticle
2104,Ad Nunc Dimittis TP,"Antiphons for the Nunc Dimittis canticle, Eastertide"
1479,Ad Suffragium,Memorial chants
1470,Ad aquam benedictio,Chants for the blessing of water
2797,Ad aspersionem aquae benedictae,For the sprinkling of Holy Water
2798,Ad aspersionem aquae benedictae TP,For the sprinkling of Holy Water in Eastertide
2800,Ad lavandum altaria,Chants for the washing of the altar
2228,Adalberti,"Adalbert of Prague, Bishop and Martyr"
2092,"Adalberti,8",In week after Adalbert
4552,Adalhardi Corbeiensis,"Adalard (Adalhard) of Corbie, Abbot"
2722,Adalheidae,"Adelaide, Empress"
1481,Additamenta,"Added or Miscellaneous Items

To be used when the feast designation is unknown/unknowable because it was not provided by the scribe(s)."
2582,Adventus Ewaldorum,Arrival of the Ewald brothers' relics (heads) in Muenster
2434,Adventus Walburgae,The Departure of Walburga from England (to found a religious house in Bischofsheim)
2517,Aegidii,"Aegidius (Giles), Abbot"
4263,Aemiliani Cucullati,"Aemilianus Cucullatus, Confessor, Relics in San Millan de la Cogolla"
4264,Agnetis Assisiensis,"Agnes of Assisi, younger sister to Clare"
4612,Agnetis secundo,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)"
2312,"Albani, Mart.","Albanus (Alban) of Mainz, Martyr"
2437,Alberti,"Albert of Trapani, Confessor and Carmelite Friar"
2801,Alberti Magni,"Albert the Great (Albertus Magnus), Bishop of Regensburg and ""Doctor Universalis"""
2210,"Albini, Epi.","Albinus (Aubin), Bishop of Angers"
2117,Aldegundis,"Aldegundis, Virgin"
2257,Alexandri et sociorum,"Alexander and Eventius, Martyrs"
2361,Alexis,"Alexis, the Man of God"
4170,Aloisii Gonzagae,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students"
4617,Alphegi,"Alphege (Aelfeah, Elphege, Aelfeach),Archbishop of Canterbury (1006-1012)"
4171,Alphonsi Mariae de Ligorio,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church"
2229,Ambrosii,"Ambrose, Bishop of Milan, Doctor"
2661,Andreae,"Andrew, Apostle"
4172,Andreae Avellini,"Andrew, Avellino (Lancelotto), Confessor"
2185,Andreae Corsini,"Andrew Corsini, Carmelite ""apostle of Florence"""
4173,Angelae Mericiae,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns"
2584,Angeli Custodis,For Guardian Angels
2662,Aniani,"Anianus (Aignan), Bishop of Orleans"
2211,Annuntiatio Mariae,Annunciation of Mary (Lady Day)
4174,Anselmi,"Anselm, Bishop, Confessor, Doctor of the Church"
4175,Antonii Mariae Claret,"Antonio Maria Claret y Clara, Bishop, Confessor, Spanish Prelate and Missionary"
4176,Antonii Mariae Zaccaria,"Antonio Maria Zaccaria, Confessor, Founder of the Clerks Regular of St. Paul (Barnabites)"
4177,Antonini Episcopi,"Antoninus, Archbishop of Florence"
2363,Apollinaris,"Apollinaris, Bishop of Ravenna"
4178,Apolloniae,"Apollonia, Virgin Martyr"
2259,Appar. Michaelis,Appearing of Michael the Archangel
2120,"Aquilae, Priscae","Aquila and Prisca, Virgin Martyrs"
2438,Arnulfi,"Arnulf, Bishop of Metz"
2364,Arnulfi Metensis,"Arnulfus (Arnoul), Bishop of Metz"
4206,"Ascensionis Domini, in vigilia",Eve of Ascension
2260,Athanasii,"Athanasius, Archbishop of Alexandria"
4611,Attalae,"Attala (Atala, Attalia, Attale) of Strasbourg, first abbess of convent of St Stephen"
4614,Aureliae Argentoratensis,"Aurelia, Virgin (4th century)"
4265,Austremonii,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne"
4489,Aviti,"Avitus, Abbot and Confessor, born at Aurillac"
4183,BMV Immaculatae a Sacro Numismate,Our Lady of the Miraculous Medal
4179,BMV a Rosario,Our Lady of the Rosary
4267,BMV ab Exilio,Our Lady of Exile (on the third Sunday after Epiphany)
4180,BMV de Bono Consilio,Our Lady of Good Counsel
4181,BMV de Guadalupe,Our Lady of Guadalupe
4268,BMV de Monte Carmelo,Our Lady of Mount Carmel
4182,BMV de Perpetuo Succursu,Our Lady of Perpetual Help
2314,Baboleni,"Babolenus, Abbot"
4601,Babylae,"Babylas, Martyr, 12th Bishop of Antioch"
4602,Babylae Pampilonensis,"Babylas, Bishop of Pamplona"
2442,Balbinae,"Balbina, Virgin Martyr"
2121,Balthildis,"Balthildis (Bathildis), Queen"
2315,Barnabae,"Barnabas, Apostle"
2443,Bartholomaei,"Bartholomew, Apostle"
4566,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione","Dedication of the Basilica of Our Lady of the Martyrs, Lisbon"
2316,Basilidis et Soc.,"Basilides and Companions, Martyrs"
2122,Basilii,"Basil of Ancyra, Martyr"
2317,"Basilii, Doct.","Basil the Great, Doctor"
4608,Bavonis,"Bavo (Aldowin, Allowin) of Ghent"
2262,Bedae,"The Venerable Bede, Doctor"
4445,Benedictio crucis,Chants for the blessing of the cross
4266,Bernardini Senensis,"Bernardinus degl' Albizzeschi of Siena, Confessor"
4534,"Bernardini Senensis, transl.",Moving of relics of Bernardinus degl' Albizzeschi of Siena
4555,Bernwardi Episcopi Hildesheimensis,"Bernward, Bishop of Hildesheim"
2188,Blasii,"Blaise, Bishop of Sebastea, Martyr"
1496,"Blasii,8",In week after Blaise
4269,Bononii,"Bononius, Abbot, Disciple of Romuald"
4270,Botulphi,"Botulph, Abbot, founder of Ikanhoe monastery"
2665,Caeciliae,"Cecilia (Cecily), Virgin Martyr"
1497,"Caeciliae,8",In week after Cecilia
4537,Caesarii Arelatensis,"Caesarius, Archbishop of Arles"
2666,"Caesarii, Juliani","Caesarius and Julian, Martyrs"
2588,Callisti,"Callistus (Calixtus) I, Pope"
4551,Camilli de Lellis,"Camillus de Lellis, Confessor, Founder of the Canons Regular of a Good Death (Infirmis Ministrantium)"
4272,Candidi,"Candidus, Martyr, at Innichen, diocese of Brixen, Tyrol"
2263,Cantiorum,"Cantius, Cantianus and Cantianilla, Martyrs"
4273,"Caprasii, Abb.","Caprasius, Abbot of Lerins"
4275,Castuli,"Castulus, Martyr"
2667,Catharinae,"Catherine of Alexandria, Martyr"
