id,date_created,date_updated,created_by_id,last_updated_by_id,name,description,feast_code,notes,month,day,prefix
2801,2023-06-07 20:15:51.696265+00,2023-07-17 18:39:40.563245+00,,,Alberti Magni,"Albert the Great (Albertus Magnus), Bishop of Regensburg and ""Doctor Universalis""",14111550,"Holweck, pp. 40-41;",11,15,14
2661,2023-06-07 20:15:54.499486+00,2023-07-17 18:39:40.579586+00,,,Andreae,"Andrew, Apostle",14113000,,11,30,14
4172,2023-06-07 20:15:54.641202+00,2023-07-17 18:39:40.580825+00,,,Andreae Avellini,"Andrew, Avellino (Lancelotto), Confessor",14111010,"Holweck, p. 72;",11,10,14
2662,2023-06-07 20:15:55.430437+00,2023-07-17 18:39:40.585756+00,,,Aniani,"Anianus (Aignan), Bishop of Orleans",14111710,,11,17,14
2663,2023-06-07 20:16:09.975643+00,2023-07-17 18:39:40.652298+00,,,Benigni,"Benignus of Dijon, Martyr",14110140,,11,1,14
4555,2023-06-07 20:16:10.809129+00,2023-07-17 18:39:40.65716+00,,,Bernwardi Episcopi Hildesheimensis,"Bernward, Bishop of Hildesheim",14112020,"Holweck, p. 156;",11,20,14
4183,2023-06-07 20:16:12.313272+00,2023-07-17 18:39:40.665678+00,,,BMV Immaculatae a Sacro Numismate,Our Lady of the Miraculous Medal,14112700,Beatae Mariae Virginis a Sacro Numismate;,11,27,14
2664,2023-06-07 20:16:13.509456+00,2023-07-17 18:39:40.6742+00,,,Briccii,"Brice, Bishop of Tours",14111300,,11,13,14
2665,2023-06-07 20:16:14.658162+00,2023-07-17 18:39:40.680469+00,,,Caeciliae,"Cecilia (Cecily), Virgin Martyr",14112200,,11,22,14
2666,2023-06-07 20:16:15.10228+00,2023-07-17 18:39:40.684226+00,,,"Caesarii, Juliani","Caesarius and Julian, Martyrs",14110130,,11,1,14
2667,2023-06-07 20:16:16.864508+00,2023-07-17 18:39:40.695202+00,,,Catharinae,"Catherine of Alexandria, Martyr",14112500,,11,25,14
2668,2023-06-07 20:16:18.779128+00,2023-07-17 18:39:40.708339+00,,,"Chrysanthi, Dariae","Chrysanthus, Daria, Maurus, Martyrs",14112910,,11,29,14
2669,2023-06-07 20:16:18.985103+00,2023-07-17 18:39:40.709557+00,,,Chrysogoni,"Chrysogonus, Martyr",14112400,,11,24,14
2670,2023-06-07 20:16:19.989111+00,2023-07-17 18:39:40.713147+00,,,Clementis,"Clement I, Pope and Martyr",14112300,,11,23,14
4463,2023-06-07 20:16:20.122666+00,2023-07-17 18:39:40.71445+00,,,Clementis Metensis,"Clement, first Bishop of Metz",14112340,"Holweck, p. 219;",11,23,14
2671,2023-06-07 20:16:20.921613+00,2023-07-17 18:39:40.789632+00,,,Columbani,"Columbanus (Columban), Abbot",14112330,,11,23,14
2672,2023-06-07 20:16:40.617448+00,2023-07-17 18:39:40.799418+00,,,Conradi,"Conrad, Bishop of Constance",14112620,,11,26,14
2673,2023-06-07 20:16:43.658879+00,2023-07-17 18:39:40.815077+00,,,Cuniberti,"Cunibertus (Quinibert), Bishop of Cologne",14111210,,11,12,14
2674,2023-06-07 20:16:50.15588+00,2023-07-17 18:39:42.354201+00,,,De Imagine Domini,The Icon of our Lord Saviour,14110900,,11,9,14
2675,2023-06-07 20:16:59.361707+00,2023-07-17 18:39:40.883497+00,,,Dedic. Bas. S. Petri,"Dedication of Saint Peter's, Rome",14111820,,11,18,14
2676,2023-06-07 20:17:00.099508+00,2023-07-17 18:39:40.88469+00,,,Dedic. S. Salvatoris,Dedication of Saint Saviour's,14110940,,11,9,14
2851,2023-06-07 20:17:02.126522+00,2023-07-17 18:39:40.892032+00,,,Didaci Confessoris,,,,11,13,
2677,2023-06-07 20:17:39.57488+00,2023-07-17 18:39:41.070151+00,,,Edmundi,"Edmund, King and Martyr",14112000,"Holweck, p. 303",11,20,14
4493,2023-06-07 20:17:39.710803+00,2023-07-17 18:39:42.392291+00,,,Edmundi Archiepiscopi,"Edmund of Abingdon (Edmund Rich), Archbishop of Canterbury",14111620,"Holweck, p. 303",11,16,14
4595,2023-06-07 20:17:43.292938+00,2023-07-17 18:39:42.393491+00,,,Elisabeth Hung.,"Elizabeth of Hungary, and of Thuringia, Widow",14111900,"Holweck, p. 314 lists Nov. 19 as her death date and feast date, but other sources (including Grotefend) give Nov. 17;",11,19,14
2679,2023-06-07 20:17:49.534087+00,2023-07-17 18:39:41.105386+00,,,Eugenii,"Eugene, Martyr, Disciple of Denis",14111500,,11,15,14
2680,2023-06-07 20:17:50.667835+00,2023-07-17 18:39:41.113804+00,,,Eustachii,"Eustachius (Eustace), Martyr",14110200,,11,2,14
4190,2023-06-07 20:17:53.371441+00,2023-07-17 18:39:41.12935+00,,,Felicis Valesius,"Felix of Valois, Confessor, Founder of the Trinitarians",14112010,"Holweck, p. 375;",11,20,14
2681,2023-06-07 20:17:54.183144+00,2023-07-17 18:39:41.134301+00,,,Felicitatis,"Felicitatis, Matron and Martyr",14112310,,11,23,14
2682,2023-06-07 20:23:17.612959+00,2023-07-17 18:39:41.348696+00,,,Findani,"Findan (Fintan) of Rheinau, Benedictine Hermit",14111530,,11,15,14
4615,2024-07-14 22:09:34.227293+00,2024-07-14 22:09:34.227316+00,613,,"Florentii, Episc.","Florentius, Bishop of Strasbourg",14110710,"Holweck, p. 390;",11,7,14
4561,2023-06-07 20:23:18.299414+00,2023-07-17 18:39:41.353582+00,,,Flori,"Florus, Bishop of Lodève",14110400,"Grotefend (Nov. 4); Holweck, p. 391 (Oct.30);",11,4,14
2683,2023-06-07 20:23:18.699135+00,2023-07-17 18:39:42.363959+00,,,Florini,"Florinus, Confessor and Priest",14111720,,11,17,14
2684,2023-06-07 20:23:23.317259+00,2023-07-17 18:39:41.386286+00,,,Genulfi,"Genulf (Gendulf, Genou), ""Bishop""",14111330,,11,13,14
2218,2023-06-07 20:23:25.315685+00,2023-07-17 18:39:41.399422+00,,,Gertrudis,"Gertrude the Great, Cistercian nun and mystic writer",14111730,"Holweck, p. 432;",11,17,14
2685,2023-06-07 20:23:27.606878+00,2023-07-17 18:39:41.411294+00,,,Gregorii Thauma.,"Gregory the Wonderworker, Bishop",14111700,,11,17,14
2686,2023-06-07 20:23:38.460971+00,2023-07-17 18:39:41.471451+00,,,Huberti,"Hubert, First Bishop of Liege, Confessor",14110330,,11,3,14
4564,2023-06-07 20:23:38.783094+00,2023-07-17 18:39:41.473887+00,,,Hugonis Episc. Lincolniensis,"Hugh, Bishop of Lincoln",14111740,"Holweck, p. 494;",11,17,14
4464,2023-06-07 20:23:40.145705+00,2023-07-17 18:39:41.483509+00,,,Imerii,"Imerius (Himerius) of Immertal, monk, hermit, and missionary in the Swiss Jura",14111240,not in Holweck;,11,12,14
2687,2023-06-07 20:23:44.983083+00,2023-07-17 18:39:41.507626+00,,,Inventio Antonini,Finding of Antoninus's relics,14111310,,11,13,14
4569,2023-06-07 20:23:58.677435+00,2023-07-17 18:39:42.436951+00,,,Lauteni,"Lautein (Lothenus, Lautenus), Abbot, founder of Silèze and Maximiac abbeys in the Jura mountains",14110200,"Holweck, p. 593 (Nov 1);",11,2,14
