id,name,month,day,feast_code,description
2360,"Abdonis, Sennis",7,30,14073000,"Abdon and Sennen, Martyrs"
2311,Acacii et sociorum,6,22,14062220,"Acacius and Companions, Martyrs"
2104,Ad Nunc Dimittis TP,,,16005080,"Antiphons for the Nunc Dimittis canticle, Eastertide"
2228,Adalberti,4,23,14042310,"Adalbert of Prague, Bishop and Martyr"
2092,"Adalberti,8",,,14042318,In week after Adalbert
4552,Adalhardi Corbeiensis,1,2,14010220,"Adalard (Adalhard) of Corbie, Abbot"
2722,Adalheidae,12,16,14121600,"Adelaide, Empress"
2516,Adriani,9,10,14091000,"Adrian, Martyr"
2517,Aegidii,9,1,14090100,"Aegidius (Giles), Abbot"
4527,"Aemigdii, Episc. et Martyr",8,5,14080530,"Emygdius (Emidius), Bishop Martyr"
4263,Aemiliani Cucullati,,,14111220,"Aemilianus Cucullatus, Confessor, Relics in San Millan de la Cogolla"
2435,Afrae,8,5,14080500,"Afra, Martyr"
2436,Agapiti,8,18,14081800,"Agapitus, Martyr"
1482,"Agapiti,8",,,14081808,In week after Agapitus
2183,Agathae,2,5,14020500,"Agatha, Virgin Martyr"
1483,"Agathae,8",,,14020508,In week after Agatha
2116,Agnetis,1,21,14012100,"Agnes, Virgin Martyr"
4264,Agnetis Assisiensis,,,14111610,"Agnes of Assisi, younger sister to Clare"
4612,Agnetis secundo,1,28,14012840,"The memory of Agnes (""a remnant of an ancient octave,"" Holweck, p. 33)"
1484,"Agnetis,8",,,14012108,In week after Agnes
2518,Aichardi,9,15,14091520,"Aichardus (Achard, Aichadrus, Aycadrius), Abbot"
2312,"Albani, Mart.",6,21,14062100,"Albanus (Alban) of Mainz, Martyr"
2437,Alberti,8,7,14080720,"Albert of Trapani, Confessor and Carmelite Friar"
2801,Alberti Magni,11,15,14111550,"Albert the Great (Albertus Magnus), Bishop of Regensburg and ""Doctor Universalis"""
2210,"Albini, Epi.",3,1,14030100,"Albinus (Aubin), Bishop of Angers"
2117,Aldegundis,1,30,14013000,"Aldegundis, Virgin"
2257,Alexandri et sociorum,5,3,14050310,"Alexander and Eventius, Martyrs"
2361,Alexis,7,17,14071700,"Alexis, the Man of God"
4170,Aloisii Gonzagae,6,21,14062120,"Aloysius (Luigi) Gonzaga, Confessor, Patron of youthful Catholic students"
4617,Alphegi,4,19,14041920,"Alphege (Aelfeah, Elphege, Aelfeach),Archbishop of Canterbury (1006-1012)"
4171,Alphonsi Mariae de Ligorio,8,2,14080210,"Alphonsus Maria de Liguori, Bishop, Confessor, Doctor of the Church"
2184,Amandi,2,6,14020620,"Amand (Amandus), Bishop"
2583,Amati,10,19,14101900,"Amatus, Bishop of Sens"
2258,Amatoris,5,1,14050130,"Amator (Amatre), Bishop of Auxerre"
2229,Ambrosii,4,4,14040400,"Ambrose, Bishop of Milan, Doctor"
2230,Ambrosii TP,4,4,14040480,"Ambrose, Eastertide"
2118,Anastasii,1,22,14012210,"Anastasius the Persian, Martyr"
2661,Andreae,11,30,14113000,"Andrew, Apostle"
4172,Andreae Avellini,11,10,14111010,"Andrew, Avellino (Lancelotto), Confessor"
2185,Andreae Corsini,2,4,14020400,"Andrew Corsini, Carmelite ""apostle of Florence"""
1485,"Andreae,8",,,14113008,In week after Andrew
4173,Angelae Mericiae,5,31,14053120,"Angela Merici, Virgin, Foundress of the Ursuline Order of Nuns"
2662,Aniani,11,17,14111710,"Anianus (Aignan), Bishop of Orleans"
2362,Annae,7,26,14072610,"Anne, Mother of Mary"
4492,"Annuntiatio Mariae, Dom. infra oct.",,,14032501,Sunday after Annunciation of Mary
1486,"Annuntiatio Mariae,8",,,14032508,In week after Annunciation of Mary
2212,Annuntiatio TP,3,25,14032580,"Annunciation of Mary, Eastertide"
4174,Anselmi,4,21,14042100,"Anselm, Bishop, Confessor, Doctor of the Church"
2186,Ansgarii,2,3,14020310,"Anskar, Bishop and Confessor"
2119,Antonii,1,17,14011700,"Antony, Abbot"
4175,Antonii Mariae Claret,10,23,14102330,"Antonio Maria Claret y Clara, Bishop, Confessor, Spanish Prelate and Missionary"
4176,Antonii Mariae Zaccaria,7,5,14070500,"Antonio Maria Zaccaria, Confessor, Founder of the Clerks Regular of St. Paul (Barnabites)"
2313,Antonii Patavini,6,13,14061300,"Anthony of Padua, Doctor"
2519,Antonini,9,2,14090200,"Antoninus, Martyr"
4177,Antonini Episcopi,5,10,14051010,"Antoninus, Archbishop of Florence"
2363,Apollinaris,7,23,14072320,"Apollinaris, Bishop of Ravenna"
4178,Apolloniae,2,9,14020900,"Apollonia, Virgin Martyr"
2120,"Aquilae, Priscae",1,18,14011810,"Aquila and Prisca, Virgin Martyrs"
4613,Arbogasti Argentoratensis,7,21,14072120,"Arbogast, Bishop of Strasbourg"
4553,Aredii Nivernensis,8,16,14081660,"Aredius (Aregius, Arigius, Agricius, Aré) of Nevers, Bishop"
2438,Arnulfi,8,16,14081600,"Arnulf, Bishop of Metz"
2364,Arnulfi Metensis,7,18,14071810,"Arnulfus (Arnoul), Bishop of Metz"
1490,"Ascensio Domini,8",,,08065008,In week after Ascension
4206,"Ascensionis Domini, in vigilia",,,08064001,Eve of Ascension
1491,"Assumptio Mariae,8",,,14081508,In week after Assumption of Mary
2260,Athanasii,5,2,14050200,"Athanasius, Archbishop of Alexandria"
4611,Attalae,12,3,14120310,"Attala (Atala, Attalia, Attale) of Strasbourg, first abbess of convent of St Stephen"
2723,Auberti,12,13,14121310,"Aubert (Aubertus), Bishop of Cambrai"
2440,Audoeni,8,24,14082410,"Audoenus (Ouen), Bishop of Rouen"
2520,Audomari,9,9,14090920,"Audomarus (Omer), Bishop"
2441,Augustini,8,28,14082800,"Augustine, Bishop and Doctor"
2261,Augustini Cant.,5,26,14052610,"Augustine (Austin), of Canterbury"
4528,"Augustini, conv.",5,5,14050510,"Conversion of Augustine, Bishop and Doctor"
1492,"Augustini,8",,,14082808,In week after Augustine
2585,Aureae,10,4,14100410,"Aurea, Abbess in Paris"
4614,Aureliae Argentoratensis,10,15,14101510,"Aurelia, Virgin (4th century)"
4265,Austremonii,,,14110160,"Austremonius (Stremoine), Bishop, Martyr, Apostle of Auvergne"
4489,Aviti,6,17,14061720,"Avitus, Abbot and Confessor, born at Aurillac"
2314,Baboleni,6,26,14062610,"Babolenus, Abbot"
4601,Babylae,1,24,14012420,"Babylas, Martyr, 12th Bishop of Antioch"
4602,Babylae Pampilonensis,10,30,14103020,"Babylas, Bishop of Pamplona"
2442,Balbinae,8,28,14082850,"Balbina, Virgin Martyr"
2121,Balthildis,1,30,14013010,"Balthildis (Bathildis), Queen"
2724,Barbarae,12,4,14120400,"Barbara, Virgin Martyr"
2187,Barbati,2,19,14021900,"Barbatus (Barbas), Bishop of Benevento"
2315,Barnabae,6,11,14061100,"Barnabas, Apostle"
2443,Bartholomaei,8,24,14082400,"Bartholomew, Apostle"
4566,"Basilicae BMV de Martyribus Ulyssipponensis, in dedicatione",5,13,14051320,"Dedication of the Basilica of Our Lady of the Martyrs, Lisbon"
2316,Basilidis et Soc.,6,12,14061200,"Basilides and Companions, Martyrs"
2122,Basilii,1,2,14010200,"Basil of Ancyra, Martyr"
2317,"Basilii, Doct.",6,14,14061400,"Basil the Great, Doctor"
4608,Bavonis,10,1,14100140,"Bavo (Aldowin, Allowin) of Ghent"
2262,Bedae,5,26,14052600,"The Venerable Bede, Doctor"
2586,Benedictae,10,8,14100810,"Benedicta, Virgin Martyr"
2213,Benedicti,3,21,14032100,"Benedict, Abbot"
2214,Benedicti TP,3,21,14032180,"Benedict, Eastertide"
1493,"Benedicti, Fer.3",,,14032103,"Benedict, for Tuesday within the octave"
1494,"Benedicti,8",,,14032108,In week after Benedict
2663,Benigni,11,1,14110140,"Benignus of Dijon, Martyr"
2444,Bernardi,8,20,14082010,"Bernard, Abbot and Doctor"
1495,"Bernardi,8",,,14082018,In week after Bernard
4266,Bernardini Senensis,,,14052010,"Bernardinus degl' Albizzeschi of Siena, Confessor"
4534,"Bernardini Senensis, transl.",5,17,14051710,Moving of relics of Bernardinus degl' Albizzeschi of Siena
4555,Bernwardi Episcopi Hildesheimensis,11,20,14112020,"Bernward, Bishop of Hildesheim"
2587,Birgittae,10,8,14100840,"Bridget of Sweden, Matron"
2188,Blasii,2,3,14020300,"Blaise, Bishop of Sebastea, Martyr"
1496,"Blasii,8",,,14020308,In week after Blaise
4184,Bonaventurae,7,14,14071420,"Bonaventure, Bishop, Confessor, Doctor of the Church"
2318,Bonifacii,6,5,14060500,"Boniface, Archbishop and Martyr"
4269,Bononii,,,14083010,"Bononius, Abbot, Disciple of Romuald"
2365,Botuidi,7,28,14072820,"Botwid, Martyr"
