type,id,title,cantus_id,source_id,siglum
chant,248197,,002321,123611,A-Gu
chant,286673,,002321,123613,A-KN
chant,294466,,002321,123616,A-KN
chant,305260,,002321,123656,A-KN
chant,307343,,002321,123660,A-KR
chant,338263,,002321,123617,A-LIb
chant,439773,,002321,123658,A-SF
chant,509150,,002321,123643,A-VOR
chant,510686,,002321,123644,A-Wda
chant,534860,,002321,123649,A-Wda
chant,554093,,002321,123713,A-Wn
chant,230638,,002321,123606,CH-E
chant,181060,,002321,123714,D-AAm
chant,199181,,002321,123688,D-B
chant,187105,,002321,123594,D-BAs
chant,258045,,002321,123685,D-FUl
chant,619119,,002321,123612,D-KA
chant,334012,,002321,123741,D-KNd
chant,348796,,002321,123623,D-MZb
chant,377095,,002321,123684,D-Mbs
chant,435463,,002321,123637,D-Sl
chant,312686,,002321,123696,DK-Kk
chant,481724,,002321,123638,E-Tc
chant,487244,,002321,123639,E-Tc
chant,202384,,002321,123601,F-CA
chant,395617,,002321,123627,F-Pn
chant,395618,,002321,123627,F-Pn
chant,401442,,002321,123628,F-Pn
chant,407782,,002321,123630,F-Pn
chant,418187,,002321,123633,F-Pn
chant,450707,,002321,123663,F-Pn
chant,500935,,002321,123642,F-VAL
chant,382063,,002321,123687,GB-Ob
chant,386086,,002321,123707,GB-Ob
chant,275861,,002321,123737,HR-Dsmbb
chant,163573,,002321,123666,I-AO
chant,174559,,002321,123675,I-Ad
chant,237639,,002321,123607,I-Far
chant,370203,,002321,123680,I-Lc
chant,355025,,002321,123626,I-MZ
chant,428587,,002321,123635,I-Rv
chant,569375,,002321,123758,I-VCd
chant,576756,,002321,123763,I-VCd
chant,584410,,002321,123765,I-VCd
chant,326747,,002321,123736,PL-KIk
chant,563040,,002321,123756,PL-WRu
chant,597655,,002321,589069,PL-WRu
chant,356856,,002321,123659,SI-Lna
chant,263162,,002321,123706,TR-Itks
chant,218875,,002321,123661,V-CVbav
chant,389017,,002321,123724,XX-NN
