type,id,title,cantus_id,source_id,siglum
chant,693541,,909000,693516,CDN-Mlr
chant,713883,,909000,713701,D-B
chant,713893,,909000,713701,D-B
chant,713903,,909000,713701,D-B
chant,278517,,909000,123740,HR-Dsmbb
chant,278520,,909000,123740,HR-Dsmbb
chant,278523,,909000,123740,HR-Dsmbb
chant,278800,,909000,123740,HR-Dsmbb
chant,278810,,909000,123740,HR-Dsmbb
chant,278823,,909000,123740,HR-Dsmbb
chant,328615,,909000,123736,PL-KIk
chant,328626,,909000,123736,PL-KIk
chant,328635,,909000,123736,PL-KIk
chant,328638,,909000,123736,PL-KIk
chant,357941,,909000,123659,SI-Lna
chant,357951,,909000,123659,SI-Lna
chant,357961,,909000,123659,SI-Lna
chant,675576,,909000,669030,US-Cai
chant,675577,,909000,669030,US-Cai
chant,675578,,909000,669030,US-Cai
