id,title,shelfmark,siglum
699463,"Wien, Österreichische Nationalbibliothek, Cod. 3672",Cod. 3672,A-Wn
702226,"Wien, Österreichische Nationalbibliothek, Cod. 3841, flyleaf","Cod. 3841, flyleaf",A-Wn
701224,"Wien, Österreichische Nationalbibliothek, Fragm. 1494",Fragm. 1494,A-Wn
701386,"Wien, Österreichische Nationalbibliothek, Fragm. 613",Fragm. 613,A-Wn
1000001,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413, Frag. 1","Add. Ms. 413, Frag. 1",AUS-Sfl
705671,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327 (front pastedown)",Add.Ms. 327 (front pastedown),AUS-Sfl
705661,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327 (rear pastedown)",Add.Ms. 327 (rear pastedown),AUS-Sfl
702211,"São Leopoldo, UNISINOS Memorial Jesuíta, 330976",330976,BR-SLUN
702208,"São Leopoldo, UNISINOS Memorial Jesuíta, 340723 Front Pastedown",340723 Front Pastedown,BR-SLUN
123619,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), M2150",M2150,CDN-Lu
1000021,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), manuscript MS101 Toswell",manuscript MS101 Toswell,CDN-Lu
675683,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0018",MS Medieval 0018,CDN-Mlr
693397,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0020",MS Medieval 0020,CDN-Mlr
691957,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0021",MS Medieval 0021,CDN-Mlr
693447,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0024",MS Medieval 0024,CDN-Mlr
693486,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0025",MS Medieval 0025,CDN-Mlr
693504,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0064",MS Medieval 0064,CDN-Mlr
693507,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0065",MS Medieval 0065,CDN-Mlr
693510,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0072",MS Medieval 0072,CDN-Mlr
680970,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0073",MS Medieval 0073,CDN-Mlr
691955,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0078",MS Medieval 0078,CDN-Mlr
691953,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0080",MS Medieval 0080,CDN-Mlr
693516,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0081",MS Medieval 0081,CDN-Mlr
693548,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0086",MS Medieval 0086,CDN-Mlr
693551,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0087",MS Medieval 0087,CDN-Mlr
693560,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0088",MS Medieval 0088,CDN-Mlr
693562,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0089",MS Medieval 0089,CDN-Mlr
693565,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0092",MS Medieval 0092,CDN-Mlr
693578,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0169",MS Medieval 0169,CDN-Mlr
693585,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0170",MS Medieval 0170,CDN-Mlr
702451,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0171",MS Medieval 0171,CDN-Mlr
693590,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0172",MS Medieval 0172,CDN-Mlr
693601,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0176",MS Medieval 0176,CDN-Mlr
693615,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0184",MS Medieval 0184,CDN-Mlr
693636,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0186",MS Medieval 0186,CDN-Mlr
693642,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0204",MS Medieval 0204,CDN-Mlr
693647,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0205",MS Medieval 0205,CDN-Mlr
693648,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0206",MS Medieval 0206,CDN-Mlr
693659,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0207",MS Medieval 0207,CDN-Mlr
693660,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0208",MS Medieval 0208,CDN-Mlr
693666,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0209",MS Medieval 0209,CDN-Mlr
693669,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0210",MS Medieval 0210,CDN-Mlr
693680,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0211",MS Medieval 0211,CDN-Mlr
693689,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0212",MS Medieval 0212,CDN-Mlr
693724,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0215",MS Medieval 0215,CDN-Mlr
693727,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0216",MS Medieval 0216,CDN-Mlr
693732,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0217",MS Medieval 0217,CDN-Mlr
693736,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0218",MS Medieval 0218,CDN-Mlr
693740,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0219",MS Medieval 0219,CDN-Mlr
693748,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0220",MS Medieval 0220,CDN-Mlr
693768,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0221",MS Medieval 0221,CDN-Mlr
693771,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0222",MS Medieval 0222,CDN-Mlr
693792,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0231",MS Medieval 0231,CDN-Mlr
693946,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0007",MS Medieval 0237,CDN-Mlr
1000102,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0239",MS Medieval 0239,CDN-Mlr
1000105,,MS Medieval 0239 early layer,CDN-Mlr
1000106,,MS Medieval 0239 late layer,CDN-Mlr
1000020,"St. Catharines (ON), Brock University Library - Archives and Special Collections, RG 394",RG 394,CDN-STCbul
1000025,"St. Catharines (ON), Brock University Library - Archives and Special Collections, RG 396",RG 396,CDN-STCbul
703559,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Book A",MS Book A,CDN-WAdl
702547,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 01",MS Medieval 01,CDN-WAdl
703575,"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 02",MS Medieval 02,CDN-WAdl
701771,"Romont, Abbaye de la Fille-Dieu Romont, Ms. liturg. FiD 1, flyleaves","Ms. liturg. FiD 1, flyleaves",CH-ROM
701188,"Sankt-Gallen, Stiftsbibliothek, Cod. Sang. 340, flyleaf","Cod. Sang. 340, flyleaf",CH-SGs
704091,"Bamberg, Staatsbibliothek, Msc.Bibl.79",Msc.Bibl.79,D-BAs
695170,"Trier, Stadtbibliothek Weberbach, F-2dpf",F-2dpf,D-TRs
695231,"Trier, Stadtbibliothek Weberbach, F-2ggs",F-2ggs,D-TRs
699459,"Trier, Stadtbibliothek Weberbach, F-5rkm",F-5rkm,D-TRs
698177,"Trier, Stadtbibliothek Weberbach, F-661u",F-661u,D-TRs
695901,"Trier, Stadtbibliothek Weberbach, F-6eoa",F-6eoa,D-TRs
699525,"Trier, Stadtbibliothek Weberbach, F-76d5",F-76d5,D-TRs
699521,"Trier, Stadtbibliothek Weberbach, F-7anv",F-7anv,D-TRs
695712,"Trier, Stadtbibliothek Weberbach, F-7cii",F-7cii,D-TRs
696486,"Trier, Stadtbibliothek Weberbach, F-7z72",F-7z72,D-TRs
695960,"Trier, Stadtbibliothek Weberbach, F-82pg",F-82pg,D-TRs
698191,"Trier, Stadtbibliothek Weberbach, F-87fs",F-87fs,D-TRs
699081,"Trier, Stadtbibliothek Weberbach, F-87fs",F-87fs,D-TRs
696381,"Trier, Stadtbibliothek Weberbach, F-8slb",F-8slb,D-TRs
696057,"Trier, Stadtbibliothek Weberbach, F-a00a",F-a00a,D-TRs
699542,"Trier, Stadtbibliothek Weberbach, F-a0yk",F-a0yk,D-TRs
701008,"Trier, Stadtbibliothek Weberbach, F-b2zd",F-b2zd,D-TRs
699082,"Trier, Stadtbibliothek Weberbach, F-byer",F-byer,D-TRs
700999,"Trier, Stadtbibliothek Weberbach, F-c34q",F-c34q,D-TRs
696560,"Trier, Stadtbibliothek Weberbach, F-c8jl",F-c8jl,D-TRs
699102,"Trier, Stadtbibliothek Weberbach, F-chdk",F-chdk,D-TRs
696538,"Trier, Stadtbibliothek Weberbach, F-dsjj",F-dsjj,D-TRs
696548,"Trier, Stadtbibliothek Weberbach, F-dt0m",F-dt0m,D-TRs
699091,"Trier, Stadtbibliothek Weberbach, F-e2zn",F-e2zn,D-TRs
697939,"Trier, Stadtbibliothek Weberbach, F-e57b",F-e57b,D-TRs
696069,"Trier, Stadtbibliothek Weberbach, F-eu4i",F-eu4i,D-TRs
701383,"Trier, Stadtbibliothek Weberbach, F-f0gp",F-f0gp,D-TRs
701370,"Trier, Stadtbibliothek Weberbach, F-g5fs",F-g5fs,D-TRs
699105,"Trier, Stadtbibliothek Weberbach, F-gdjn",F-gdjn,D-TRs
699131,"Trier, Stadtbibliothek Weberbach, F-ge1j",F-ge1j,D-TRs
696570,"Trier, Stadtbibliothek Weberbach, F-ghak",F-ghak,D-TRs
699252,"Trier, Stadtbibliothek Weberbach, F-h16v",F-h16v,D-TRs
701546,"Trier, Stadtbibliothek Weberbach, F-hii0",F-hii0,D-TRs
699139,"Trier, Stadtbibliothek Weberbach, F-impb",F-impb,D-TRs
701493,"Trier, Stadtbibliothek Weberbach, F-irhl",F-irhl,D-TRs
