id,title,institution_siglum,shelfmark,provenance_notes
123610,"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",A-Gu,29 (olim 38/8 f.),
123611,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",A-Gu,30 (olim 38/9 f.),
1000103,"Graz, Universitätsbibliothek, MS 756",A-Gu,MS 756,
653927,"Graz, Universitätsbibliothek, Ms. 211",A-Gu,Ms. 211,
123653,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1010",A-KN,CCl 1010,
123654,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1011",A-KN,CCl 1011,
123613,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1012",A-KN,CCl 1012,
123614,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1013",A-KN,CCl 1013,
123655,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1015",A-KN,CCl 1015,
123615,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1017",A-KN,CCl 1017,
123616,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1018",A-KN,CCl 1018,
123656,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 589",A-KN,CCl 589,
123660,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258",A-KR,Schachtel VI/258,
123617,"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)",A-LIb,290 (olim 183; olim Gamma p 19),
123658,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480",A-SF,XI 480,
123643,"Vorau, Stiftsbibliothek, 287 (olim XXIX)",A-VOR,287 (olim XXIX),
123644,"Wien, Diözesanarchiv, C-10",A-Wda,C-10,
123645,"Wien, Diözesanarchiv, C-11",A-Wda,C-11,
123649,"Wien, Diözesanarchiv, D-4",A-Wda,D-4,
123667,"Wien, Österreichische Nationalbibliothek - Handschriftensammlung, 1799**",A-Wn,1799**,
701515,"Wien, Österreichische Nationalbibliothek, Cod. 1707",A-Wn,Cod. 1707,
123713,"Wien, Österreichische Nationalbibliothek - Musiksammlung, Cod. 1890",A-Wn,Cod. 1890,
699463,"Wien, Österreichische Nationalbibliothek, Cod. 3672",A-Wn,Cod. 3672,
702226,"Wien, Österreichische Nationalbibliothek, Cod. 3841, flyleaf",A-Wn,"Cod. 3841, flyleaf",
701224,"Wien, Österreichische Nationalbibliothek, Fragm. 1494",A-Wn,Fragm. 1494,
701386,"Wien, Österreichische Nationalbibliothek, Fragm. 613",A-Wn,Fragm. 613,
123759,"Wien, Österreichische Nationalbibliothek, Mus.Hs.15489",A-Wn,Mus.Hs.15489,
123745,"Melbourne, State Library of Victoria, 096.1/R66A (""The Poissy Antiphonal"")",AUS-Msl,"096.1/R66A (""The Poissy Antiphonal"")",
669163,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)",AUS-Sfl,Add. Ms. 413 (olim Add. Ms. Fol.1),
1000001,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413, Frag. 1",AUS-Sfl,"Add. Ms. 413, Frag. 1",
674508,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327",AUS-Sfl,Add.Ms. 327,
705671,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327 (front pastedown)",AUS-Sfl,Add.Ms. 327 (front pastedown),
705661,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327 (rear pastedown)",AUS-Sfl,Add.Ms. 327 (rear pastedown),"The origin of the fragment is unknown. Add.Ms. 327, the host book to which it is attached, is thought to be from Spain."
674218,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 376",AUS-Sfl,Add.Ms. 376,
674352,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 379",AUS-Sfl,Add.Ms. 379,
674790,"Sydney, University of Sydney - Fisher Library - Rare Books and Special Collections, Add.Ms. 380",AUS-Sfl,Add.Ms. 380,
715246,"Sydney, State Library New South Wales, SAFE/RB/MSS X001",AUS-Ssl,SAFE/RB/MSS X001,
706711,"Averbode, Norbertijnenabdij, IV.413",B-AVna,IV.413,
588309,"Dendermonde, Sint-Pieters-en Paulusabdij, ms. 9",B-DEa,ms. 9,
702611,"Gent, Universiteitsbibliotheek, Hs BKT.006 (""Tsgrooten Antiphoner"")",B-Gu,"Hs BKT.006 (""Tsgrooten Antiphoner"")",
123754,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 152",B-TOb,152,
123664,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)",B-TOb,63 (olim V),
123665,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)",B-TOb,64 (olim IV),
