id,title,siglum,shelfmark
123931,"Graz, Universitätsbibliothek, 1584",A-Gu 1584,1584
124052,"Graz, Universitätsbibliothek, Cod. 17  (37/9 f.)",A-Gu 17,Cod. 17  (37/9 f.)
123957,"Graz, Universitätsbibliothek, 281",A-Gu 281,281
123610,"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",A-Gu 29,29 (olim 38/8 f.)
123611,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",A-Gu 30,30 (olim 38/9 f.)
123902,"Graz, Universitätsbibliothek, 479",A-Gu 479,479
123932,"Graz, Universitätsbibliothek, 761",A-Gu 761,761
123988,"Graz, Universitätsbibliothek, 767",A-Gu 767,767
123930,"Graz, Universitätsbibliothek, 769",A-Gu 769,769
1000103,"Graz, Universitätsbibliothek, MS 756",A-Gu MS 756,MS 756
653927,"Graz, Universitätsbibliothek, Ms. 211",A-Gu Ms. 211,Ms. 211
123989,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 588",A-KN 588,588
123653,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1010",A-KN CCl 1010,CCl 1010
123654,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1011",A-KN CCl 1011,CCl 1011
123613,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1012",A-KN CCl 1012,CCl 1012
123614,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1013",A-KN CCl 1013,CCl 1013
123655,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1015",A-KN CCl 1015,CCl 1015
123615,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1017",A-KN CCl 1017,CCl 1017
123616,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1018",A-KN CCl 1018,CCl 1018
123656,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 589",A-KN CCl 589,CCl 589
123660,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258",A-KR VI/258,Schachtel VI/258
123897,"Linz, Oberösterreichische Landesbibliothek, 286",A-LIb 286,286
123617,"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)",A-LIb 290,290 (olim 183; olim Gamma p 19)
123858,"Linz, Oberösterreichische Landesbibliothek, 466",A-LIb 466,466
124011,"Linz, Oberösterreichische Landesbibliothek, 466 - ff. 234-254",A-LIb 466b,466 - ff. 234-254
123977,"Melk, Stiftsbibliothek, 109 (olim 1056)",A-M 109,109 (olim 1056)
123658,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480",A-SF XI 480,XI 480
124005,"Vorau, Stiftsbibliothek, 121 (XXX)",A-VOR 121,121 (XXX)
123933,"Vorau, Stiftsbibliothek, 177 (XC)",A-VOR 177,177 (XC)
123643,"Vorau, Stiftsbibliothek, 287 (olim XXIX)",A-VOR 287,287 (olim XXIX)
123915,"Vorau, Stiftsbibliothek, 303 (XXXVII)",A-VOR 303,303 (XXXVII)
123644,"Wien, Diözesanarchiv, C-10",A-Wda C-10,C-10
123645,"Wien, Diözesanarchiv, C-11",A-Wda C-11,C-11
123649,"Wien, Diözesanarchiv, D-4",A-Wda D-4,D-4
123852,"Wien, Österreichische Nationalbibliothek, Cpv 1043",A-Wn 1043,Cpv 1043
123859,"Wien, Österreichische Nationalbibliothek, Cpv 13 314",A-Wn 13314,Cpv 13 314
123667,"Wien, Österreichische Nationalbibliothek - Handschriftensammlung, 1799**",A-Wn 1799**,1799**
123799,"Wien, Österreichische Nationalbibliothek, Cpv 1845",A-Wn 1845,Cpv 1845
701515,"Wien, Österreichische Nationalbibliothek, Cod. 1707",A-Wn Cod. 1707,Cod. 1707
123713,"Wien, Österreichische Nationalbibliothek - Musiksammlung, Cod. 1890",A-Wn Cod. 1890,Cod. 1890
123759,"Wien, Österreichische Nationalbibliothek, Mus.Hs.15489",A-Wn Mus.Hs.15489,Mus.Hs.15489
123898,"Wien, Österreichische Nationalbibliothek,  Ser. Nov. 2700",A-Wn sn2700,Ser. Nov. 2700
123745,"Melbourne, State Library of Victoria, 096.1/R66A (""The Poissy Antiphonal"")",AUS-Msl 096.1/R66A,"096.1/R66A (""The Poissy Antiphonal"")"
669163,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)",AUS-Sfl Add. Ms. 413,Add. Ms. 413 (olim Add. Ms. Fol.1)
674508,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 327",AUS-Sfl Add.Ms. 327,Add.Ms. 327
674218,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 376",AUS-Sfl Add.Ms. 376,Add.Ms. 376
674352,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add.Ms. 379",AUS-Sfl Add.Ms. 379,Add.Ms. 379
674790,"Sydney, University of Sydney - Fisher Library - Rare Books and Special Collections, Add.Ms. 380",AUS-Sfl Add.Ms. 380,Add.Ms. 380
715246,"Sydney, State Library New South Wales, SAFE/RB/MSS X001",AUS-Ssl X001,SAFE/RB/MSS X001
706711,"Averbode, Norbertijnenabdij, IV.413",B-AVna IV.413,IV.413
124012,"Bruxelles, Bibliothèque royale, 11396",B-Br 11396,11396
124069,"Bruxelles, Bibliothèque royale, 15073",B-Br 15073,15073
123923,"Bruxelles, Bibliothèque royale, 19389",B-Br 19389,19389
123804,"Bruxelles, Bibliothèque royale, 2031-32",B-Br 2031-32,2031-32
124088,"Bruxelles, Bibliothèque royale, 4767",B-Br 4767,4767
123873,"Bruxelles, Bibliothèque royale, II 3823 (Fétis 1172)",B-Br II 3823,II 3823 (Fétis 1172)
124065,"Bruxelles, Bibliothèque royale, II 3825 (Fétis 1174)",B-Br II 3825,II 3825 (Fétis 1174)
588309,"Dendermonde, Sint-Pieters-en Paulusabdij, ms. 9",B-DEa 9,ms. 9
702611,"Gent, Universiteitsbibliotheek, Hs BKT.006 (""Tsgrooten Antiphoner"")",B-Gu Hs BKT.006,"Hs BKT.006 (""Tsgrooten Antiphoner"")"
123754,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 152",B-TOb 152,152
123664,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)",B-TOb olv 63,63 (olim V)
123665,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)",B-TOb olv 64,64 (olim IV)
123723,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",CDN-Hsmu M2149.L4,M2149.L4 1554
710654,"London (ON), University of Western Ontario - Archives and Research Collections Centre (ARCC), no shelf-mark yet",CDN-Lu Olim 39,no shelf-mark yet
693577,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0093",CDN-Mlr MS Medieval 0093,MS Medieval 0093
676545,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0111",CDN-Mlr MS Medieval 0111,MS Medieval 0111
678936,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0234",CDN-Mlr MS Medieval 0234,MS Medieval 0234
666846,"Ottawa, Carleton University - MacOdrum Library - Archives and Research Collection, ms. 1",CDN-Oc 1,ms. 1
666847,"Ottawa, Carleton University - MacOdrum Library - Archives and Research Collection, ms. 2",CDN-Oc 2,ms. 2
687359,"Quebec, Séminaire de Québec, Le Paroissien Noté",CDN-Qsl Chaperon,Le Paroissien Noté
694888,"Toronto, University of Toronto - Thomas Fisher Rare Book Library, MSS 09700",CDN-Ttfl MSS 09700,MSS 09700
706646,"Toronto, Faculty of Music Library, musi MSS 0019",CDN-Tu 0019,musi MSS 0019
700992,"Winnipeg (Manitoba), University of Manitoba Libraries - The Dysart Memorial Collection, MS 1",CDN-W Dysart MS 1,MS 1
589057,"Waterloo, Wilfrid Laurier University Library, M2142.L2 N6 RB88",CDN-WAwlul M2142.L2 N6 RB88,M2142.L2 N6 RB88
1000071,"Calgary, Private Collection, D-04sqa",CDN-pc(AB) D-04sqa,D:04sqa
123928,"Bern, Burgerbibliotek, 620",CH-BEb 620,620
123927,"Bern, Burgerbibliotek, A. 421",CH-BEb A421,A. 421
710973,"Bourg-Saint-Pierre, Hospice du Grand-Saint-Bernard - Bibliothèque, MS 7",CH-BSPh MS 7,MS 7
710710,"Cologny, Fondation Martin Bodmer, Cod. Bodmer 74",CH-CObodmer 74,Cod. Bodmer 74
123841,"Einsiedeln, Stiftsbibliothek, cod. 113 (466)",CH-E 113,cod. 113 (466)
123883,"Einsiedeln, Stiftsbibliothek, cod. 114",CH-E 114,cod. 114
666647,"Einsiedeln, Stiftsbibliothek, Codex 121",CH-E 121,Codex 121
123779,"Einsiedeln, Stiftsbibliothek, cod. 121",CH-E 121,cod. 121
123895,"Einsiedeln, Stiftsbibliothek, cod. 366",CH-E 366,cod. 366
123606,"Einsiedeln, Stiftsbibliothek, 611",CH-E 611,611
1000101,"Engelberg, Stiftsbibliothek, 1003",CH-EN 1003,1003
1000091,"Engelberg, Stiftsbibliothek, 102",CH-EN 102,102
1000080,"Engelberg, Stiftsbibliothek, 314",CH-EN 314,314
124002,"Engelberg, Stiftsbibliothek, cod. 314",CH-EN 314,cod. 314
123725,"Engelberg, Benediktinerkloster - Stiftsbibliothek, Cod. 103",CH-ENstb Cod. 103,Cod. 103
123672,"Fribourg, Bibliothèque des Cordeliers, Ms. 2",CH-Fco Ms. 2,Ms. 2
675783,"Fribourg, Bibliothèque des Cordeliers, Ms. 9",CH-Fco Ms. 9,Ms. 9
638308,"Porrentruy, Bibliothèque cantonale jurassienne, 18",CH-P 18,18
672485,"Sankt-Gallen, Stiftsbibliothek, Cod. Sang. 359",CH-SGs 359,Cod. Sang. 359
123896,"Sankt-Gallen, Stiftsbibliothek, cod. 375",CH-SGs 375,cod. 375
123832,"Sankt-Gallen, Stiftsbibliothek, cod. 376",CH-SGs 376,cod. 376
123833,"Sankt-Gallen, Stiftsbibliothek, cod. 378",CH-SGs 378,cod. 378
123842,"Sankt-Gallen, Stiftsbibliothek, cod. 380",CH-SGs 380,cod. 380
123790,"Sankt-Gallen, Stiftsbibliothek, cod. 381",CH-SGs 381,cod. 381
123843,"Sankt-Gallen, Stiftsbibliothek, cod. 382",CH-SGs 382,cod. 382
123750,"Sankt-Gallen, Stiftsbibliothek, 388",CH-SGs 388,388
123717,"Sankt-Gallen, Stiftsbibliothek, 390",CH-SGs 390,390
123718,"Sankt-Gallen, Stiftsbibliothek, 391",CH-SGs 391,391
123789,"Sankt-Gallen, Stiftsbibliothek, cod. 484",CH-SGs 484,cod. 484
123803,"Sankt-Gallen, Stiftsbibliothek, cod. 898",CH-SGs 898,cod. 898
123784,"Sankt-Gallen, Kantonsbibliothek, Vadiana 317",CH-SGv 317,Vadiana 317
123913,"Schaffhausen, Stadtbibliothek, 95",CH-SH 95,95
123997,"Zurich, Schweizerisches Landesmuseum, 26117",CH-Zm 26117,26117
123731,"Zürich, Zentralbibliothek, Rh. 80",CH-Zz Rh 80,Rh. 80
123869,"Zürich, Zentralbibliothek, Rh. 125",CH-Zz Rh. 125,Rh. 125
123952,"Zürich, Zentralbibliothek, Rh. 14",CH-Zz Rh. 14,Rh. 14
123929,"Zürich, Zentralbibliothek, Rh. 55",CH-Zz Rh. 55,Rh. 55
123844,"Zürich, Zentralbibliothek, Rh. 132",CH-Zz Rh.132,Rh. 132
123760,"Brno, Moravská zemská knihovna v Brně, Rajhrad 387",CZ-Bu R 387,Rajhrad 387
123746,"Hradec Králové, Muzeum Východních Čech v Hradci Králové, Antiphonary II A 1",CZ-HKm II A 1,Antiphonary II A 1
123975,"Prague, Knihovna metropolitni kapituly sv. Vita, P VIII",CZ-Pap P VIII,P VIII
649450,"Prague, Strahovská knihovna (Library of the Royal Canonry of Premonstratensians at Strahov), DE I 7",CZ-Pst DE I 7,DE I 7
706031,"Prague, Národní knihovna České republiky (National Library), I G 17",CZ-Pu I.G.17,I G 17
